gram,counts
covid 19 vaccine,8872
covid 19 pandemic,5280
covid 19 cases,5023
scott atlas resigns,2261
new covid 19,2193
due covid 19,2072
casos covid 19,1915
dr scott atlas,1826
positive covid 19,1815
vacuna covid 19,1657
covid 19 vaccines,1440
covid 19 testing,1353
covid 19 patients,1284
covid 19 restrictions,1250
covid 19 test,1171
recovering covid 19,1157
covid 19 di,1106
covid 19 hard,1105
12 hour shifts,1096
key worker throughout,1094
lucky would make,1094
working key worker,1093
worker throughout pandemic,1093
throughout pandemic 12,1093
pandemic 12 hour,1093
hour shifts recovering,1093
shifts recovering covid,1093
get lucky would,1093
would make entire,1093
make entire year,1093
19 hard please,1071
hard please get,1070
please get lucky,1070
entire year officialplt,1070
positif covid 19,1054
da covid 19,1049
covid 19 deaths,1028
atlas resigns trump,989
covid 19 relief,970
cases covid 19,946
get well soon,934
covid 19 via,900
pandemi covid 19,879
authorization covid 19,865
pltpinkmonday working key,864
impact covid 19,861
coronavirus covid 19,851
spread covid 19,848
tweets pltpinkmonday working,842
30 11 2020,789
pandemia covid 19,763
covid 19 crisis,761
covid 19 update,742
approval covid 19,738
emergency use authorization,724
penyebaran covid 19,722
severe covid 19,720
últimas 24 horas,719
atlas resigns special,713
amid covid 19,711
resigns special adviser,707
covid 19 tests,706
died covid 19,703
special adviser trump,687
covid 19 outbreak,685
adviser trump coronavirus,669
working covid 19,668
covid 19 case,633
covid 19 pltpinkmonday,611
use covid 19,603
covid 19 virus,596
get covid 19,592
covid 19 hospitalizations,587
kasus covid 19,587
resigns trump administration,587
19 vaccine us,586
tested positive covid,585
coronavirus task force,583
vaccine us eu,579
health care worker,577
year officialplt pltpinkmonday,577
new coronavirus cases,568
tested positive coronavirus,562
could really use,561
essential health care,555
care worker working,555
worker working covid,554
really use treat,552
something nice christmas,552
christmas mom essential,552
mom essential health,552
treat family something,551
family something nice,551
nice christmas mom,551
moderna files approval,551
use treat family,550
positivo covid 19,549
covid 19 infections,547
files approval covid,545
officialplt 1000 tweets,535
19 vaccine candidate,531
trump coronavirus adviser,531
2000 tweets pltpinkmonday,530
hey officialplt please,519
trying since friday,514
covid 19 surge,509
please let work,506
let work go,503
work go vain,503
go vain trying,503
vain trying since,503
officialplt please let,500
since friday now,498
friday now could,498
now could really,498
moderna covid 19,490
mhp tbmm grup,488
covid 19 lockdown,487
white house coronavirus,484
november 30 2020,483
contagios covid 19,480
covid 19 situation,478
emergency use covid,470
covid 19 nedeniyle,467
fda authorization covid,466
since covid 19,463
surge upon surge,462
fanb gnbypueblogrande flexibilizacionamplia,449
covid 19 response,447
muertes covid 19,446
covid 19 em,441
ee uu europa,433
stay at home,431
du covid 19,430
ziyaselcuk tcmeb drfahrettinkoca,430
relatively effect deaths,427
nuevos casos coronavirus,419
nuevos casos covid,417
covid 19 patient,416
america slips deep,410
slips deep grim,410
deep grim pandemic,410
covid 19 death,409
leaderless america slips,409
covid 19 ee,409
19 ee uu,409
grim pandemic winter,406
covid 19 protocols,401
approval coronavirus vaccine,401
fight covid 19,394
moderna apply today,391
contre covid 19,390
aprobación vacuna covid,383
mematuhi protokol kesehatan,379
virus covid 19,378
covid 19 relatively,370
19 relatively effect,370
trump covid 19,370
new cases covid,369
apply today fda,368
covid19 covidsecondwave covidvaccine,366
medidas prevención covid19,366
today fda authorization,364
covid 19 numbers,363
coronavirus corona coronavaccine,363
covid covid19 covidsecondwave,363
emergency approval coronavirus,363
vaccine 94 effective,362
moderna vaccine trial,362
pedirá aprobación vacuna,362
moderna pedirá aprobación,361
new york times,360
covid19 covid coronavirus,359
haute autorité santé,358
vaksin covid 19,356
coronavirusupdates covid covid19,356
covid 19 infection,355
corona coronavaccine coronavirusupdates,355
coronavaccine coronavirusupdates covid,355
covidsecondwave covidvaccine koronavirus,355
covidvaccine koronavirus indiafightscorona,355
koronavirus indiafightscorona india,355
indiafightscorona india world,355
india world coronaupdatesinindia,355
world coronaupdatesinindia coronaupdate,355
coronaupdatesinindia coronaupdate coronaupdates,355
coronaupdate coronaupdates srbija,355
covid 19 coronavirus,354
coronavirus covid19 sarscov2,353
coronaupdates srbija europe,353
cumplimiento medidas prevención,350
tcmeb drfahrettinkoca saglikbakanligi,350
30 november 2020,346
covid 19 vaccination,345
penanganan covid 19,344
at home order,344
drfahrettinkoca saglikbakanligi mebimdestek,344
от covid 19,343
response covid 19,343
vaccine trial developed,342
trial developed severe,342
pencegahan covid 19,341
got moderna vaccine,340
mantendrá desplegada semanas,339
desplegada semanas flexibilización,339
gnb mantendrá desplegada,338
seguridad pueblo cumplimiento,338
pueblo cumplimiento medidas,338
would really love,337
one got moderna,337
garantizando seguridad pueblo,337
tested covid 19,336
covid19 sarscov2 forecast,336
com covid 19,336
prevención covid19 edo,336
aolsinavlarionlineolsun aöl covid19,336
number covid 19,335
resigns trump coronavirus,335
die covid 19,334
new death population,334
population coronavirus covid19,334
death population coronavirus,333
bolivar gnb mantendrá,333
aöl covid19 coronavirus,333
able work due,332
covid 19 related,331
covid19 edo bolivar,331
edo bolivar gnb,331
semanas flexibilización fanb,331
flexibilización fanb gnbypueblogrande,331
adviser scott atlas,330
health care workers,329
99 recovery rate,329
developed severe covid,325
surge covid 19,324
saglikbakanligi mebimdestek aciklisetv,324
allow emergency use,323
mebimdestek aciklisetv rterdogan,322
tests positive covid,316
covid 19 spread,313
covid 19 amp,312
1000 tweets pltpinkmonday,312
free covid 19,311
really love win,311
despite covid 19,308
love win giveaway,308
work due coronavirus,307
covid 19 impact,306
made twitter account,306
articles impeachment filed,305
covid 19 dan,304
30 noviembre 2020,304
19 vaccine new,304
twitter account specifically,304
account specifically pltpinkmonday,304
specifically pltpinkmonday dedication,304
pltpinkmonday dedication best,304
dedication best would,304
best would really,304
win giveaway help,304
giveaway help christmas,304
help christmas able,304
christmas able work,304
positivos covid 19,301
moderna applies emergency,299
new covid19 cases,298
remarkable one got,298
absolutely remarkable one,297
vacunas covid 19,296
pasien covid 19,295
would help much,295
new study results,295
covid 19 positive,292
vaccine new study,292
covid coronavirus trump,291
last 24 hours,291
satgas covid 19,290
missguidedcybermon missguidednoticeme missguidedcyberwrapparty,289
covid 19 salgının,288
covid 19 adviser,287
blackfriday covid19 covid,286
covid 19 concerns,286
covid 19 see,286
latest covid 19,285
tarafından covid 19,285
covid 19 rules,284
study results confirm,284
