term,counts
wrong,13010
worse,13002
fears,12994
war,12962
month,12936
años,12903
hear,12853
reported,12849
action,12831
affected,12820
ass,12814
employees,12811
yg,12810
economic,12794
morning,12791
bueno,12790
else,12773
office,12771
started,12755
looks,12752
wo,12731
seems,12731
cara,12684
bolsonaro,12646
prevent,12645
press,12622
faire,12599
literally,12590
boris,12586
died,12569
probably,12549
por,12532
shows,12527
tout,12526
postponed,12525
cancel,12491
madrid,12487
johnson,12440
current,12402
experts,12396
patient,12310
continue,12291
momento,12287
korea,12220
restaurants,12214
cada,12211
finally,12210
try,12209
sad,12148
toda,12144
ko,12142
esse,12141
nuevo,12141
argentina,12136
google,12113
list,12074
service,12058
party,12044
that,12032
bir,12017
imagine,11992
buy,11988
break,11978
left,11971
taken,11959
personal,11952
ist,11917
vote,11884
hate,11880
small,11865
racist,11861
ask,11858
found,11846
united,11845
stand,11823
be,11813
tv,11799
contact,11786
company,11784
administration,11780
name,11746
2019,11733
aux,11733
hell,11733
thinking,11712
worst,11703
anti,11694
só,11685
hoax,11680
sorry,11657
wants,11655
deal,11649
21,11640
ah,11613
federal,11603
leadership,11578
den,11557
moment,11517
relief,11506
season,11496
dear,11489
fait,11489
night,11439
australia,11438
información,11432
ban,11382
wtf,11371
facebook,11357
children,11354
cuba,11336
nation,11335
despite,11310
events,11304
coronavirusupdates,11300
used,11295
meu,11279
marzo,11277
reason,11277
questions,11219
todas,11213
fox,11183
miedo,11167
governor,11164
es,11127
yesterday,11122
tous,11089
industry,11083
toll,11079
puta,11073
instead,11068
creo,11060
heard,11048
three,11031
companies,11023
went,11022
contagio,11011
potus,11004
safety,10990
mass,10979
tiempo,10979
dead,10965
responsible,10949
regarding,10948
services,10920
interesting,10918
parents,10891
an,10885
ready,10867
negative,10853
less,10839
normal,10822
yeah,10803
announced,10803
sars,10798
threat,10798
came,10795
semana,10789
play,10770
dar,10768
stores,10761
set,10757
siempre,10753
curfew,10750
verdad,10719
alguien,10712
april,10705
california,10693
early,10690
já,10677
calls,10639
ont,10627
problem,10622
ke,10621
means,10596
related,10562
worried,10546
florida,10541
met,10529
line,10518
likely,10517
spain,10508
quiero,10501
colombia,10498
second,10490
conference,10480
official,10474
mierda,10444
ao,10437
borisjohnson,10429
group,10426
kits,10401
goes,10401
are,10390
hold,10389
join,10381
immune,10374
être,10343
fin,10330
millions,10267
contre,10255
agree,10245
dont,10233
situación,10219
buying,10216
causa,10211
infection,10193
muertos,10182
general,10178
washington,10178
force,10153
rest,10141
ada,10126
friday,10121
available,10100
