date	tweet_id
2020-1-1	1
2020-1-10	6
2020-1-11	12
2020-1-12	5
2020-1-13	5
2020-1-17	26
2020-1-18	17
2020-1-19	4
2020-1-20	124
2020-1-21	172
2020-1-22	895
2020-1-23	1295
2020-1-24	1661
2020-1-25	1861
2020-1-26	2008
2020-1-27	2016
2020-1-28	2725
2020-1-29	2671
2020-1-30	3542
2020-1-31	3421
2020-1-4	2
2020-1-6	2
2020-1-8	4
2020-1-9	15
2020-2-1	2096
2020-2-10	1563
2020-2-11	1725
2020-2-12	1613
2020-2-13	1730
2020-2-14	1241
2020-2-15	217
2020-2-16	806
2020-2-17	1283
2020-2-18	1364
2020-2-19	1251
2020-2-2	2041
2020-2-20	1153
2020-2-21	1559
2020-2-22	1599
2020-2-23	2037
2020-2-24	3289
2020-2-25	4351
2020-2-26	6312
2020-2-27	6797
2020-2-28	7938
2020-2-29	5774
2020-2-3	1946
2020-2-4	1863
2020-2-5	1657
2020-2-6	1579
2020-2-7	1693
2020-2-8	1524
2020-2-9	1304
2020-3-1	4425
2020-3-10	10821
2020-3-11	14921
2020-3-12	95482
2020-3-13	751804
2020-3-14	742471
2020-3-15	754195
2020-3-16	839332
2020-3-17	816530
2020-3-18	854546
2020-3-19	772241
2020-3-2	6053
2020-3-20	768545
2020-3-21	786495
2020-3-22	122908
2020-3-3	6274
2020-3-4	6427
2020-3-5	7202
2020-3-6	6899
2020-3-7	6169
2020-3-8	5501
2020-3-9	8904
date	1
