gram,counts
instansi terkait,2950
people like,2946
please take,2945
coronavirus epidemic,2944
combatir coronavirus,2933
top story,2927
cancelled due,2927
death rate,2922
slow spread,2917
24 horas,2905
miedo coronavirus,2904
catch coronavirus,2903
coronavirus corona,2892
confirmed case,2889
people died,2889
staying home,2889
let us,2883
emergency coronavirus,2883
da positivo,2883
virus coronavirus,2882
march 2020,2881
das coronavirus,2868
est ce,2854
sur coronavirus,2840
000 people,2837
medidas preventivas,2821
coronavirus related,2817
pedro sánchez,2810
coronavirus thing,2807
cura coronavirus,2806
postponed due,2805
coronavirus chinese,2779
fighting coronavirus,2776
ils ont,2770
paid sick,2752
called coronavirus,2741
muertos coronavirus,2727
go back,2725
tests negative,2711
va matar,2705
seems like,2703
est une,2702
close schools,2673
aujourd hui,2656
qu ils,2644
uk government,2636
covidー19 covid19,2624
bill gates,2620
basic income,2619
covid_19 covid19,2616
health organization,2616
health minister,2614
global pandemic,2608
coronavirus spreading,2595
tener coronavirus,2594
regarding coronavirus,2590
people get,2589
coronavirus one,2587
bars restaurants,2583
uk coronavirus,2582
face masks,2581
please stay,2580
ee uu,2569
coronavirus may,2567
south africa,2564
dio positivo,2564
testing kits,2557
case covid,2555
coronavirus people,2537
sa covid,2535
cruise ship,2529
handling coronavirus,2529
confirmados coronavirus,2527
qu on,2519
american people,2514
19 corona,2511
des coronavirus,2509
14 days,2509
covid_19 coronaviruspandemic,2503
coronavirus país,2490
positive covid19,2485
coronavirus hit,2476
justin trudeau,2475
immune coronavirus,2473
schools closed,2472
coronavirus ahora,2469
penyebaran covid,2469
mortality rate,2469
whole coronavirus,2466
good thing,2461
coronavirus da,2458
take coronavirus,2455
every time,2455
please share,2450
tell us,2450
19 patients,2448
high risk,2448
casos positivos,2441
19 case,2441
2020 coronavirus,2440
go away,2436
wuhan china,2436
cada vez,2431
covid19 covid_19,2430
síntomas coronavirus,2430
york city,2427
priority coronavirusoutbreak,2425
going get,2417
via mailonline,2402
house coronavirus,2399
meu deus,2398
coronavirus wuhan,2396
coronavirus please,2395
wuhan virus,2393
medidas prevención,2392
coronavirus eu,2391
ne pas,2386
19 sign,2384
test test,2381
help stop,2378
must read,2376
não tem,2374
died coronavirus,2373
years ago,2369
loved ones,2369
corona covid19,2366
universal basic,2365
vous êtes,2364
million people,2360
whole world,2357
coronavirus não,2355
morir coronavirus,2352
prevención coronavirus,2350
climate change,2350
safe coronavirus,2348
drive thru,2338
please stop,2334
coronavirus stop,2322
cases covid19,2319
coronavirus emergency,2317
si mata,2316
positive cases,2316
gracias coronavirus,2309
prevenir coronavirus,2306
stay away,2305
du covid,2301
cases confirmed,2301
every single,2299
disease 2019,2295
get covid,2294
janta curfew,2294
covid19 covidー19,2292
regarding covid,2291
oh god,2283
covid19 outbreak,2283
eu não,2282
virus covid19,2281
testing positive,2279
coronavirus latest,2278
papel higiénico,2278
total cases,2278
swine flu,2276
calling coronavirus,2272
china virus,2268
new jersey,2263
said coronavirus,2259
insider trading,2257
school closures,2257
ils sont,2250
morí día,2247
people still,2245
day coronavirus,2242
of the,2235
tested negative,2232
people dying,2222
pandemic via,2216
total number,2214
coronavirusoutbreak sign,2194
ce qu,2192
post coronavirus,2191
coronavirus france,2187
deal coronavirus,2186
spanish flu,2185
mass testing,2176
mundo coronavirus,2169
ce qui,2168
tomar medidas,2164
vous avez,2161
simulations show,2161
president donald,2158
lot people,2155
need help,2148
say coronavirus,2144
du covid19,2140
come back,2140
coronavirus infection,2133
va ser,2132
even though,2132
update coronavirus,2132
evitar propagación,2130
covid19 crisis,2129
prueba coronavirus,2129
realdonaldtrump coronavirus,2129
common sense,2128
coronavirus briefing,2128
via nytimes,2120
using coronavirus,2120
des mesures,2119
coronavirus take,2114
wall street,2111
coronavirus solo,2110
โคว ด19,2105
ça va,2104
pandemia covid,2104
dr fauci,2103
prevent coronavirus,2102
latest coronavirus,2098
toque queda,2097
help coronavirus,2097
real time,2096
outbreaks like,2094
spreading coronavirus,2093
marzo 2020,2092
coronavirus growth,2091
infectados coronavirus,2090
trump declares,2085
flatten coronavirus,2084
grocery store,2083
coronavirus mata,2082
small business,2081
cas coronavirus,2081
this is,2077
show flatten,2074
please help,2069
growth curve,2066
new covid,2066
relief bill,2055
di coronavirus,2052
trump said,2050
coronavirus must,2041
wabah covid,2033
15 días,2032
coronavirus seriously,2032
get sick,2026
covid19 virus,2025
go home,2019
good morning,2018
help fight,2016
doctors nurses,2012
novo coronavírus,2009
coronavirus treatment,2006
could get,2003
number coronavirus,2000
cases rise,1999
crisis sign,1995
right thing,1995
last year,1994
worried coronavirus,1994
corona covid,1993
coronavirus colombia,1991
san francisco,1987
mike pence,1984
safe everyone,1983
ahora coronavirus,1982
coronavirus go,1980
je vais,1980
coronavirus coronavirusupdate,1978
must act,1972
world coronavirus,1969
je ne,1967
get well,1966
everyone else,1964
due to,1963
symptoms coronavirus,1963
qui ont,1961
in the,1960
coronavirus plan,1960
read thread,1959
protect coronavirus,1959
cases reported,1954
pel coronavirus,1948
peut être,1947
dos casos,1947
chez vous,1946
want know,1946
coronavirus hits,1945
coronavirus need,1944
st patrick,1937
ministerio salud,1935
travel restrictions,1935
sistema salud,1934
chinese government,1932
spread exponentially,1932
coronavirus first,1929
new zealand,1929
van het,1925
positivos coronavirus,1923
self employed,1920
na get,1919
re going,1913
pegar coronavirus,1912
coronavirus confirmed,1909
brote coronavirus,1902
bernie sanders,1898
contain coronavirus,1898
best way,1898
mr president,1896
mar lago,1894
still open,1892
peor coronavirus,1891
coronavirus mundo,1886
confirms first,1882
coronaviruspandemic covid_19,1882
coronavirus real,1874
trump tests,1873
2019 covid,1873
watch live,1869
19 spread,1869
bringing total,1865
dies coronavirus,1860
coronavirus infections,1859
today coronavirus,1858
via nbcnews,1857
schools close,1857
pm modi,1856
debe ser,1856
march 16,1856
19 preventifcegahcovid19,1851
sa mga,1851
feels like,1848
coronavirus travel,1848
great job,1847
matar morí,1846
qui est,1846
response covid19,1844
20 000,1842
coronavirus shutdown,1841
tout monde,1841
culpa coronavirus,1839
front line,1832
martial law,1829
30 days,1829
coronavirus says,1828
coronavirus still,1823
latest updates,1823
new deaths,1822
one person,1820
bc coronavirus,1818
people going,1817
via breitbartnews,1814
muerte coronavirus,1814
frenar coronavirus,1813
number cases,1807
ve got,1805
nous sommes,1803
terkait peduli,1800
par coronavirus,1791
please please,1790
patrick day,1788
good job,1783
confirmed covid,1780
world news,1780
many cases,1777
let get,1776
public schools,1772
puto coronavirus,1772
wake coronavirus,1768
outbreak via,1767
help people,1762
live coronavirus,1761
gets coronavirus,1761
people think,1761
face mask,1760
coronavirus hace,1760
semana santa,1759
makes sense,1758
next weeks,1758
coronavirus cuarentena,1757
corona vírus,1755
200 000,1755
information coronavirus,1754
medidas coronavirus,1754
shelter place,1753
health workers,1753
exponentially flatten,1751
talking coronavirus,1751
holy shit,1745
outbreak coronavirus,1745
di indonesia,1744
even coronavirus,1743
salud pública,1742
per coronavirus,1741
care workers,1741
risk coronavirus,1741
covid19 corona,1740
primera muerte,1739
coronavirus made,1738
kita kenali,1738
rest world,1738
si da,1735
ve seen,1734
go work,1734
save us,1732
mientras dure,1729
coronavirus no,1726
abc news,1724
polri dan,1721
high school,1720
pretty sure,1719
well soon,1719
slow coronavirus,1716
19 tests,1715
good idea,1714
19 concerns,1712
every american,1712
crise du,1711
thanks coronavirus,1711
