gram,counts
get well soon,5232
covid 19 vaccine,3327
positive covid 19,2158
well soon sunoo,2144
covid 19 pandemic,2001
covid 19 cases,1656
covid 19 vaccines,1604
covid19 covid 19,1381
covid 19 covid,1331
covid 19 vaccination,1142
upscextraattempt extraattemptforall justiceforstudents,1044
extraattemptforall justiceforstudents upscextraattempt,1026
19 covid omicron,995
covid 19 restrictions,953
tests positive covid,910
charles tests positive,875
prince charles tests,858
new covid 19,832
covid 19 di,795
casos covid 19,768
covid 19 test,746
well soon sunshine,738
2022 02 08,709
justiceforstudents upscextraattempt extraattemptforall,696
usafacts datavisualization datascience,684
datavisualization datascience analytics,684
datascience analytics health,684
analytics health data,684
health data covid19,684
data covid19 publichealth,684
covid19 publichealth covid,684
publichealth covid omicron,684
covid omicron globalhealth,684
02 08 covid,678
08 covid insights,678
covid insights analytics,671
insights analytics team,671
analytics team usafacts,671
team usafacts datavisualization,671
positivo covid 19,622
birthplace covid 19,605
tested positive covid,558
covid 19 deaths,546
últimas 24 horas,543
covid 19 testi,539
vaksin covid 19,534
kasus covid 19,480
due covid 19,473
positif covid 19,469
covid 19 second,417
covid 19 testing,412
19 second time,397
covid 19 update,378
covid covid19 covid_19,369
covid19 covid_19 covid19india,368
covid_19 covid19india covidtest,368
covid19india covidtest covidtesting,368
covidtest covidtesting covidpositive,368
covidtesting covidpositive corona,368
covidpositive corona coronavirus,368
testing help positive,368
help positive emergency,368
19 testi pozitif,359
careers youth affected,348
waves upscextraattempt extraattemptforall,348
omicronvarient testing help,348
coronavirus coronavirusupdates omicronvarient,347
corona coronavirus coronavirusupdates,347
coronavirusupdates omicronvarient testing,347
vaksinasi covid 19,345
covid 19 infection,344
positive emergency pagcfoundation,341
emergency pagcfoundation pagcian,341
evidence covid 19,338
justiceforstudents upscextraattempt narendramodi,329
covid 19 mandates,326
geçmiş olsun dileklerimi,325
testi pozitif çıkan,324
covid 19 fort,323
19 fort detrick,323
vacunación covid 19,316
covid 19 patients,316
confirmed covid cases,315
19 vaccines adverse,314
studies show extensive,312
show extensive evidence,312
000 different studies,311
different studies show,310
extensive evidence covid,310
vaccines adverse events,310
contagios covid 19,307
pandemia covid 19,305
testing positive covid,305
list 000 different,295
sunoo get well,294
da covid 19,291
vacunas covid 19,286
end covid 19,285
acil şifalar diliyorum,281
pandemi covid 19,281
get sick coronavirus,280
died covid 19,279
last 24 hours,279
covid 19 come,279
covid 19 infections,278
workers two weeks,278
two weeks paid,278
weeks paid time,278
california policy california,277
policy california legislature,277
california legislature passed,277
legislature passed bill,277
passed bill monday,277
bill monday requiring,277
monday requiring many,277
requiring many companies,277
many companies give,277
companies give workers,277
give workers two,277
paid time get,277
time get sick,277
sick coronavirus details,277
coronavirus details via,277
covid 19 vaccinations,274
10 02 2022,273
isolating testing positive,273
come fort detrick,271
19 come fort,269
charles tested positive,262
usaelbolívardigital pueblodefensordelapatria yosoyfanb,262
covid 19 via,261
prince charles tested,261
covid 19 measures,257
çevre şehircilik klim,254
vacina covid 19,254
cases covid 19,252
fort detrick place,252
da positivo covid,252
free covid 19,251
pasien covid 19,251
covid 19 finally,251
detrick authoritatively recognized,249
authoritatively recognized birthplace,249
concern careers youth,249
youth affected covid19,249
affected covid19 waves,249
covid19 waves upscextraattempt,249
şehircilik klim değişikliği,248
recognized birthplace covid,248
finally institution come,248
institution come forward,248
come forward tell,248
forward tell truth,248
tell truth convinced,248
truth convinced problem,248
get covid 19,247
covid 19 em,247
vacuna covid 19,247
19 finally institution,247
covid 19 virus,245
prokes jangan kendor,244
covid 19 tests,242
nuevos casos covid,239
pozitif çıkan çevre,234
çıkan çevre şehircilik,234
muertes covid 19,234
support concern careers,233
prince charles isolating,231
sir support concern,230
covid 19 self,229
charles isolating testing,225
klim değişikliği bakanımız,224
penyebaran covid 19,223
confirmed covid 19,223
covid 19 transmission,222
pfizer covid 19,219
covid 19 booster,218
covid 19 came,214
narendramodi sir support,214
covid 19 hospitalizations,213
coronavirus covid 19,210
impact covid 19,209
february 10 2022,207
covid cases county,204
olsun dileklerimi iletiyor,201
covid 19 varian,201
covid 19 segunda,200
report covid 19,199
origin covid 19,198
protesting covid 19,198
adverse events via,197
events via gatewaypundit,197
últimos 14 días,197
covid 19 symptoms,196
well soon love,195
bring responsible justice,194
help bring responsible,193
strong evidence rebuttal,192
please help bring,192
covid 19 us,187
fort detrick banned,187
detrick banned people,187
banned people talking,187
severe covid 19,186
dogecoin nfts breaking,186
nfts breaking clearthelist,186
breaking clearthelist covid19,186
following covid 19,186
tests positive coronavirus,185
19 self isolating,185
19 varian omicron,184
10 februari 2022,182
covid19 antigen test,182
milk tea alliance,182
rapid response covid19,182
takes serious toll,180
covid 19 data,180
anything embarrassing lie,180
10 febrero 2022,180
response covid19 antigen,180
antigen test limitation,180
account current restrictions,180
toll heart health,179
embarrassing lie exposed,179
lie exposed birthplace,179
please see rapid,179
see rapid response,179
serious toll heart,178
exposed birthplace covid,178
current restrictions ontario,178
restrictions ontario fraudulent,178
ontario fraudulent must,178
investigation report covid,177
confirmados últimos 14,177
19 segunda vez,177
immediately please help,177
fraudulent must lifted,177
must lifted immediately,177
covid 19 últimas,176
reaction covid 19,176
heart health full,176
health full year,176
casos confirmados últimos,176
test limitation we,176
limitation we need,176
we need hold,176
need hold responsible,176
hold responsible account,176
responsible account current,176
lifted immediately please,176
covid 19 takes,174
19 takes serious,174
covid 19 originated,173
us military brought,172
covid19 dangerous virus,172
covid 19 yang,171
military brought virus,171
brought virus around,171
virus around world,171
fort detrick ve,171
detrick ve trying,171
ve trying cover,171
trying cover truth,171
cover truth terrible,171
dangerous virus stayhomestaysafe,171
covid 19 covid19,169
full year recovery,167
detrick birthplace covid,167
like bioweapon attack,167
bioweapon attack mode,167
get well sunoo,167
19 us military,165
dose covid 19,164
lot like bioweapon,162
explaining covid 19,162
britain prince charles,162
murat_kurum geçmiş olsun,161
protests covid 19,161
know right know,161
right know simply,161
know simply person,161
simply person sits,161
person sits conversations,161
sits conversations people,161
conversations people joe,161
people joe rogan,161
joe rogan explaining,161
rogan explaining covid,161
covid 19 cancelation,161
19 cancelation basically,161
cancelation basically every,161
basically every platform,161
every platform check,161
platform check twitter,161
check twitter information,161
us covid 19,160
allergic reaction covid,160
praying fast recovery,159
covid 19 dan,158
jueves 10 febrero,158
covid 19 case,158
covid 19 seems,158
covid 19 untuk,157
affected covid 19,157
around world lot,156
world lot like,156
seems increase risk,156
inzidenz liegt bei,154
covid 19 death,154
increase risk serious,154
risk serious heart,154
pueblodefensordelapatria yosoyfanb gnb,154
covid covid covid,153
gemeldet die inzidenz,152
die inzidenz liegt,152
19 vaccine mandates,152
spread covid 19,152
19 seems increase,152
covid 19 omicron,151
virus covid 19,151
blockade canadians protesting,151
februar 2022 wurden,150
serious heart ailments,150
daily covid 19,149
chinese covid 19,149
truck blockade canadians,149
per 1k population,149
heart ailments year,148
gmt coronavirus coronavirusupdate,147
coronavirus coronavirusupdate covid19,147
coronavirusupdate covid19 coronaviruspandemic,147
ailments year recovery,147
americans contracted strange,145
contracted strange disease,145
fort detrick birthplace,144
vacinação covid 19,144
fort detrick authoritatively,144
ın covid 19,144
home covid 19,143
19 vaccines effective,143
live covid 19,143
year recovery report,143
covid 19 outbreak,141
well soon baby,141
10 februar 2022,140
covid 19 amp,140
19 vaccine mandate,140
saying covid 19,140
detrick place origin,139
fm russian chinese,139
russian chinese covid,139
uk prince charles,139
19 últimas 24,138
report confirmed covid,137
covid 19 2nd,137
covid 19 rapid,136
strange disease 19,136
disease 19 years,136
19 years report,136
years report confirmed,136
refusing covid 19,134
covid 19 relief,133
2022 02 10,133
per 100 000,133
getting covid 19,133
19 2nd time,133
hungarian fm russian,132
without taking vaccine,132
access covid 19,131
1k population county,131
year old woman,130
yosoyfanb gnb gnbtachira,130
evidence rebuttal covid19,129
deaths last 24,129
get well soonest,129
virus stayhomestaysafe billgates,129
covid 19 related,128
destroy placenta lead,128
placenta lead stillbirths,128
ontario covid 19,127
10 year old,127
25 110 nuevos,127
economies around world,125
vaccin covid 19,125
increase risk hiv,125
68 year old,124
well soon sun,124
genel başkan yardımcımız,123
johnson amp johnson,123
could increase risk,123
covid 19 emergency,123
update covid 19,123
many americans contracted,123
covid 19 response,122
place covid 19,122
always believed cigarette,122
believed cigarette pneumonia,122
detrick fort detrick,122
penularan covid 19,121
19 test sonucu,121
covid 19 protocols,121
19 vaccines could,121
vaccines could increase,121
contre covid 19,121
omg get well,121
learn live covid,121
well soon bb,121
penanganan covid 19,120
active covid 19,119
die covid 19,119
latest covid 19,119
report comprehensive show,119
comprehensive show friends,119
príncipe carlos inglaterra,119
year old died,119
people put together,118
truth report lied,118
dad feels guilty,118
test positive covid,117
put together report,117
together report blessed,117
report blessed bravery,117
blessed bravery speaking,117
bravery speaking truth,117
feel guilty dad,117
guilty dad feels,117
feels guilty 10,117
guilty 10 year,117
died following covid,117
experts look original,116
sonucu pozitif çıkan,116
people covid 19,116
tested positive covid19,116
positivos covid 19,116
us covid deaths,116
ci sono ancora,116
old died following,116
old drug may,115
