gram,counts
covid 19,139895
coronavirus cases,7371
19 cases,6688
coronavirus covid19,5190
new cases,4878
coronavirus pandemic,4479
kung flu,4287
19 pandemic,4124
positive coronavirus,3908
covid19 coronavirus,3885
coronavirus testing,3871
slow testing,3805
positive covid,3671
tulsa rally,3569
donald trump,3221
tested positive,3055
test positive,2806
casos covid,2676
nuevos casos,2651
social distancing,2467
covid19 cases,2442
19 testing,2430
new coronavirus,2365
120 000,2344
new covid,2340
trump rally,2335
casos coronavirus,2098
president trump,2073
second wave,2038
due covid,2020
father day,1953
death toll,1922
trump says,1902
wear mask,1869
coronavirus covid,1851
tests positive,1843
single day,1805
covid19 pandemic,1724
50 mil,1707
19 patients,1671
casos confirmados,1660
confirmed cases,1659
white house,1617
cases covid,1593
many people,1546
empty seats,1520
trump campaign,1514
gon na,1498
june 21,1478
50 000,1477
people slow,1469
via youtube,1454
24 horas,1424
united states,1407
due coronavirus,1406
24 hours,1385
new york,1383
nursing homes,1379
coronavirus outbreak,1358
amid coronavirus,1357
19 crisis,1313
19 deaths,1292
public health,1279
trump tulsa,1264
peter navarro,1246
people died,1225
rally tulsa,1219
positive cases,1215
signed petition,1201
coronavirus add,1181
000 americans,1180
live updates,1169
effects coronavirus,1163
casos positivos,1161
via 38_degrees,1154
coronavirus lockdown,1152
theatres music,1152
petition calling,1148
stay home,1146
pandemia coronavirus,1142
active cases,1124
music venues,1118
due covid19,1115
coronavirus kung,1115
testing positive,1114
add name,1113
performing arts,1109
coronavirus deaths,1108
financial effects,1107
britain theatres,1105
arts companies,1105
wearing masks,1104
protect britain,1103
corona virus,1101
companies financial,1101
public_campaign forthearts,1101
21 06,1100
10downingstreet protect,1099
forthearts via,1099
venues performing,1098
calling 10downingstreet,1096
support public_campaign,1092
name support,1086
slow coronavirus,1064
da covid,1063
últimas 24,1043
spread coronavirus,1042
fake news,1037
covid19 testing,1030
trump said,1022
new covid19,1015
coronavirus crisis,1014
tongue cheek,1012
19 coronavirus,1010
19 via,1008
new deaths,1007
000 people,1005
wearing mask,995
19 test,994
21 2020,994
100 000,985
young people,983
trump supporters,980
19 di,971
bbc news,965
last night,964
news coronavirus,964
grigor dimitrov,959
19 surge,956
looks like,952
cases coronavirus,951
happy father,951
campaign trail,951
year old,949
tongue in,942
06 2020,939
testing coronavirus,935
in cheek,930
contact tracing,923
cases reported,920
coronavirus via,918
testing please,910
