covid,17464
19,14046
covid19,8214
coronavirus,4459
china,4370
new,2425
amp,2054
people,1937
2022,1793
vaccine,1726
year,1704
pandemic,1571
cases,1294
2023,1233
virus,1233
health,1206
us,1147
vaccines,1144
test,1131
des,1035
world,963
none,929
2020,895
di,873
get,851
like,847
deaths,835
years,835
one,769
news,761
31,752
et,751
time,748
government,729
data,699
via,695
booster,694
il,686
die,684
est,665
12,658
still,642
first,640
would,638
chinese,632
spread,631
cdc,620
vaccination,608
canada,607
know,585
stop,581
da,581
trump,575
india,570
travellers,556
casos,555
many,548
testing,542
negative,538
per,535
say,532
without,532
chine,527
non,518
public,516
said,516
restrictions,510
since,508
could,494
flu,490
variant,486
even,484
du,483
country,481
last,471
pour,464
omicron,464
need,463
infection,460
une,454
mask,453
never,451
30,449
000,445
corona,442
tests,440
surge,439
dr,435
back,431
also,429
xbb,424
covidisnotover,422
death,414
heterologous,414
says,412
venezuelafeliz2023,412
10,411
risk,410
see,403
well,400
taking,395
take,392
go,387
che,387
und,386
good,385
right,383
million,379
na,376
disease,374
link,373
day,373
mrna,372
re,368
biden,367
masks,366
countries,365
may,363
long,363
si,362
due,362
require,362
infections,357
global,355
usa,355
variants,354
let,351
december,351
going,350
boosters,348
travel,347
vaccinated,345
safe,343
der,342
got,341
january,336
xi,333
happy,332
days,331
paper,329
help,327
died,324
high,324
think,324
getting,322
everyone,318
please,315
qui,314
france,312
wuhan,310
fauci,308
work,307
want,305
dec,305
pfizer,303
pas,303
much,301
sars,299
control,299
pandemia,297
study,296
read,296
science,295
gt,294
make,293
today,293
research,291
two,290
uk,288
made,287
año,286
salud,284
real,282
president,282
digital,282
australia,281
another,279
2021,279
daily,278
2019,278
click,278
americans,276
coming,276
plus,276
choose,276
outbreak,275
24,274
must,274
au,273
care,273
anti,273
positive,272
free,272
medical,270
way,270
fact,270
card,269
ne,267
ca,265
situation,263
better,262
air,262
dan,261
vacunas,261
life,260
cause,259
around,258
end,258
vaccins,257
war,256
every,254
come,252
par,251
home,251
current,251
patients,249
cdcdirector,249
transmission,249
exemption,249
already,248
led,246
impose,245
family,245
start,244
really,242
rate,242
across,241
keep,241
stay,240
response,239
information,238
population,237
media,236
em,236
voyageurs,233
das,233
three,233
immunity,233
policy,232
jinping,232
je,231
times,230
great,230
use,228
states,228
show,228
week,226
amid,226
vax,224
hope,223
twitter,221
40,221
ist,221
latest,220
total,219
het,218
reported,218
protect,218
experts,218
economy,217
number,217
vaccinesget,215
millions,214
nothing,214
nicolasmaduro,214
11,213
von,213
sur,213
