covid,81841
19,72120
covid19,44834
coronavirus,23927
vaccine,14805
amp,10674
cases,10398
people,10003
new,9811
get,8248
health,7291
deaths,6917
pandemic,6814
vaccinated,6470
vaccines,6440
vaccination,6201
2021,5719
20,5196
10,5040
us,4714
via,4679
news,4663
one,4623
casos,4322
children,4044
government,4041
uk,4032
like,3796
virus,3757
11,3690
die,3680
data,3447
da,3342
000,3321
today,3251
day,3242
di,3224
booster,3195
time,3172
plan,3131
public,2921
need,2916
death,2825
would,2784
still,2778
know,2775
year,2756
said,2706
pfizer,2646
per,2644
last,2620
says,2594
world,2513
johnson,2506
even,2500
many,2499
fully,2480
12,2477
100,2403
could,2395
whatshappeninginmyanmar,2350
state,2346
week,2333
please,2319
moderna,2307
pandemia,2300
since,2299
delta,2299
dose,2295
fda,2255
21,2201
test,2189
first,2168
care,2167
also,2161
kids,2160
na,2153
october,2146
24,2127
des,2125
work,2115
report,2110
see,2108
help,2105
positive,2102
go,2089
dan,2080
country,2076
take,2061
total,2059
et,2033
india,2027
may,2022
covid_19,2010
re,2005
il,1996
due,1993
months,1993
workers,1986
school,1955
the,1952
2020,1950
good,1941
getting,1940
doses,1932
15,1925
corona,1920
daily,1902
dosis,1902
house,1891
18,1867
wednesday,1845
million,1844
salud,1826
died,1815
bolsonaro,1807
du,1805
back,1798
make,1797
going,1794
vacunación,1792
shot,1764
update,1762
city,1746
well,1741
risk,1741
patients,1735
vacuna,1733
every,1727
mandate,1727
flu,1726
oct20coup,1724
masks,1720
spread,1720
got,1714
hospital,1686
lockdown,1684
medical,1679
days,1666
si,1664
testing,1659
reported,1653
nuevos,1652
home,1652
oct,1650
think,1647
county,1646
mask,1644
keep,1632
live,1626
number,1625
unvaccinated,1614
rate,1607
white,1606
read,1595
right,1584
let,1577
long,1577
trump,1573
restrictions,1569
immunity,1565
want,1562
vacunas,1559
tests,1539
boosters,1536
say,1535
countries,1534
latest,1534
two,1523
population,1523
shots,1518
30,1517
dr,1515
biden,1487
use,1481
act,1476
life,1473
stop,1472
est,1468
way,1465
safe,1464
case,1457
contagios,1455
cdc,1446
años,1445
president,1437
another,1431
anti,1422
infection,1415
