gram,counts
covid 19,110401
08 2021,8148
aug3coup whatshappeninginmyanmar,5805
19 vaccine,5706
19 cases,5271
ourgovernmentnug aug3coup,5087
delta variant,4378
uses covid,3568
junta uses,3544
whatshappeninginmyanmar aug3coup,3404
covid weapons,3382
2021 vaccine,3299
cowin covid19,3297
pin code,3296
covid19 pune,3296
min age,3295
age limit,3295
dose1 capacity,3295
dose2 capacity,3295
dates available,3295
vaccine vaccinepune,3295
vaccinepune cowin,3295
limit 18,2964
third wave,2931
19 pandemic,2928
wave covid,2911
get vaccinated,2838
04 08,2818
covishield min,2782
18 dose1,2746
19 vaccines,2719
pesticides free,2673
christian youths,2669
youths bhamo,2666
03 08,2482
whatshappeninginmyanmar myanmarcovidsos,2460
distributing pesticides,2413
intensifies christian,2412
bhamo distributing,2412
19 intensifies,2411
local youths,2410
ourgovernmentnug whatshappeninginmyanmar,2378
19 vaccination,2328
whatshappeninginmyanmar sacwantscoviduncontrollable,2159
19 di,2147
untuk pandemi,2102
vaksintingkatkanimunitasoksigen untuk,2099
fully vaccinated,2070
new cases,2047
new covid,1975
aug3coup ourgovernmentnug,1947
delta plus,1881
myanmarcovidsos sacwantscoviduncontrollable,1863
weapons whatshappeninginmyanmar,1825
spread covid,1765
available 03,1739
day day,1723
death toll,1666
new york,1664
sacwantscoviduncontrollable myanmarcovidsos,1557
available 04,1556
myanmarcovidsos ourgovernmentnug,1552
weapons sacwantscoviduncontrollable,1544
coronavirus cases,1535
covid19 coronavirus,1496
2021 05,1488
05 08,1485
get covid,1393
covid19 death,1371
herd immunity,1367
positive covid,1362
free charge,1354
coronavirus covid19,1350
covid19 vaccine,1346
variante delta,1338
per local,1335
youths third,1335
free ourgovernmentnug,1334
sacwantscoviduncontrollable crimesagainsthumanity,1316
crimesagainsthumanity releasethedetainees,1315
myanmar junta,1299
toll rising,1293
rising drastically,1293
drastically day,1293
day myanmar,1291
19 disease,1287
nuevos casos,1273
last week,1270
pandemi covid,1255
white house,1242
fight covid,1235
public health,1214
young philanthropists,1199
led young,1198
thabaw seik,1197
people ourgovernmentnug,1196
august spread,1196
disease awareness,1196
donated medicine,1196
township evening,1195
evening august,1195
awareness donated,1195
medicine foods,1195
foods people,1195
seik village,1194
village launglon,1194
launglon township,1194
covid19 cases,1193
philanthropists thabaw,1193
2021 04,1171
casos covid,1139
19 hospitalizations,1086
according local,1082
charge according,1075
youths whatshappeninginmyanmar,1069
florida texas,1041
vaccinated people,1037
covid19 pandemic,1015
tested positive,1011
vaksinasi agar,999
also help,996
new coronavirus,987
every contribution,980
contribution counts,980
counts find,980
organisations fight,979
19 india,969
find also,948
help organisations,946
india covid19indiahelp,942
august 2021,937
19 vaccinations,925
mask mandate,923
sars cov,911
19 patients,903
โคว ด19,877
due covid,866
000 oksigen,866
oksigen konsentrator,865
vacunación covid,861
19 delta,849
24 horas,843
coronavirus pandemic,843
19 deaths,829
ragu untuk,807
sacwantscoviduncontrollable stopsacfromrobbingo2,804
stopsacfromrobbingo2 myanmarneedso2,804
19 crisis,800
cases covid,798
lindsey graham,789
vaksinasi covid,785
2021 07,780
wear mask,776
vaksin covid,773
takut dan,759
19 bisa,757
people covid,756
untuk vaksinasi,756
dan covid,754
jangan ragu,745
19 yang,742
aseanrejectsac ourgovernmentnug,737
vaccinated covid,735
dapat segera,733
terbentuk dan,729
agar herd,728
segera terbentuk,728
últimas 24,727
07 08,727
immunity dapat,725
united states,722
2021 06,722
jangan takut,719
06 08,717
last year,715
rujukan covid,712
bisa menjauh,703
york city,700
covid cases,699
dan jangan,699
vacuna covid,696
one third,694
covid19 covidvaccine,694
24 hours,692
listyo sigit,691
sigit prabowo,691
yang akan,686
require proof,678
gon na,666
cases last,664
get vaccine,660
kapolri jenderal,660
dosis vacuna,656
via youtube,641
drs listyo,640
jenderal polisi,639
polisi drs,639
covid19 deltavariant,637
eviction moratorium,631
whatshappeninginmyanmar aug4coup,629
19 surge,621
covid19 vaccination,618
coronavirus vaccine,615
vacunas covid,607
covid19 situation,606
19 infections,597
protokol kesehatan,594
proof covid,591
military dictatorship,589
kasus covid,580
ron desantis,580
19 restrictions,573
gt gt,570
rumah sakit,566
covid19 vaccines,562
active cases,561
southern border,558
health care,558
penanganan covid,557
myanmar military,556
coronavirus covid,554
19 testing,553
18 45,550
protest military,550
45 dose1,549
died covid,549
dictatorship atrocities,548
atrocities people,548
crisis staged,548
staged people,548
people ayemyatharyar,548
ayemyatharyar phakant,544
phakant whatshappeninginmyanmar,542
melawan covid,539
wuhan lab,538
military terrorists,538
rapporteurun schranerburgen1,537
aug4coup myanmarcovidsos,537
casos positivos,534
un_hrc uninmyanmar,534
uninmyanmar hrw,533
vaccine doses,531
via yahoo,531
wear masks,531
worsening day,531
literally genocide,531
terrorists intlcrimcourt,531
hrw hrwmyanmar,531
hrwmyanmar rapporteurun,531
schranerburgen1 specialcouncil,531
savekachin myanmarmassacre,531
specialcouncil whatshappeninginmyanmar,529
july 2021,528
long term,526
day junta,526
mask mandates,524
19 test,524
whatshappeninginmyanmar savekachin,524
record covid,521
third new,517
people get,515
penyebaran covid,513
says covid,513
19 virus,512
vacunación covid19,508
da covid,506
florida breaks,498
vaccination rates,498
nuevos contagios,496
new covid19,495
ppkm level,492
covid19 covid,490
proof vaccination,489
19 via,487
accounted one,484
texas accounted,483
19 new,479
unvaccinated people,478
2021 08,473
