gram,counts
covid 19 cases,8468
covid 19 pandemic,5233
covid 19 vaccine,3229
penyebaran covid 19,2703
new covid 19,2673
positive covid 19,2547
covid 19 palliatives,2050
casos covid 19,1997
covid 19 deaths,1705
covid 19 dengan,1601
covid 19 patients,1582
covid 19 via,1559
due covid 19,1548
penularan covid 19,1369
cegah covid 19,1363
di rumah saja,1275
covid 19 liburpanjangterapkan3m,1257
new coronavirus cases,1248
tetap di rumah,1247
protokol kesehatan dengan,1208
tetap cegah covid,1199
covid 19 restrictions,1198
cases covid 19,1196
tapi jangan lupa,1176
saat libur panjang,1174
kita mau liburan,1174
mau liburan tapi,1174
liburan tapi jangan,1174
jangan lupa liburpanjangterapkan3m,1170
produktif dan aman,1166
dari penularan covid,1166
dan aman dari,1165
dan disiplin kita,1164
yang produktif dan,1163
aman dari penularan,1163
dengan dilaksanakannya protokol,1162
dilaksanakannya protokol kesehatan,1162
dengan ketat dan,1162
ketat dan disiplin,1162
disiplin kita dapat,1162
kita dapat mewujudkan,1162
dapat mewujudkan masyarakat,1162
mewujudkan masyarakat yang,1162
masyarakat yang produktif,1162
covid 19 testing,1161
walau kita mau,1152
kesehatan dengan ketat,1146
así contagia coronavirus,1095
contagia coronavirus aire,1091
protokol kesehatan liburpanjangterapkan3m,1048
covid 19 outbreak,1039
19 dengan tetap,1029
covid 19 saat,1000
coronavirus covid 19,991
covid 19 relief,965
19 saat libur,964
dengan tetap di,960
covid 19 di,936
covid 19 test,924
dan selalu terapkan,916
bersama memerangi penyebaran,898
dengan tetap mematuhi,897
mematuhi prokes liburpanjangterapkan3m,897
memerangi penyebaran covid,896
tetap mematuhi prokes,896
hindari covid 19,895
terapkan protokol kesehatan,870
1trenggalek bersama memerangi,868
spread covid 19,863
virus covid 19,859
últimas 24 horas,854
covid 19 crisis,849
selalu terapkan protokol,840
covid 19 case,838
rumah saja dan,838
saja dan selalu,838
libur panjang dengan,836
panjang dengan tetap,836
vaksin covid 19,835
oxford covid 19,835
covid 19 response,811
covid 19 outbreaks,806
coronavirus task force,760
contagios covid 19,751
covid 19 death,748
da covid 19,747
pandemi covid 19,738
covid 19 infections,733
26 10 2020,719
amid covid 19,717
test positive covid,715
covid 19 update,714
positivo covid 19,709
impact covid 19,707
wave covid 19,705
pandemia covid 19,695
fanb gnbalcuidadodelpueblo cuarentenaradicaleficaz,693
died covid 19,685
tested positive covid,683
