gram,counts
covid 19,43092
fort detrick,1959
covid19 covid,1951
19 vaccine,1830
19 pandemic,1780
19 covid,1665
covid omicron,1649
19 cases,1423
2022 03,1061
new covid,1033
positive covid,952
white house,844
latest covid,843
casos covid,817
data covid19,748
covid19 publichealth,738
03 14,737
public health,737
covid insights,733
analytics team,733
team using,733
using usafacts,733
usafacts datavisualization,733
datavisualization datascience,733
datascience analytics,733
analytics healthtech,733
healthtech data,733
publichealth covid,733
covid globalhealth,733
globalhealth rstats,733
14 latest,728
sebastian vettel,717
insights analytics,715
two years,703
19 vaccines,674
covid19 coronavirus,603
indonesia bisa,601
nuevos casos,593
confirmed covid,567
birthplace covid,564
covid cases,563
south korea,555
hong kong,544
19 response,542
new cases,540
positivo covid,534
tested positive,509
19 test,499
fully vaccinated,491
covid19 omicron,475
covid19 pandemic,466
coronavirus pandemic,446
17 marzo,445
19 vaccination,445
march 17,438
coronavirus covid19,437
24 horas,437
pandemi covid,434
19 deaths,431
17 03,429
make sure,429
19 symptoms,427
covid19 cases,426
19 protocols,426
us covid,422
well soon,413
19 di,410
st patrick,408
coronavirus cases,408
get well,405
response coordinator,403
19 fort,401
tests positive,401
03 2022,398
sars cov,398
19 testing,393
jeff zients,392
patrick day,385
ashish jha,379
24 hours,373
house covid,373
covid covid19,367
around world,365
due covid,362
please note,362
everyone else,361
strict covid,357
últimas 24,357
united states,352
please make,352
19 restrictions,348
smtownglobal please,348
still allegedly,348
allegedly exhibiting,348
exhibiting covid,348
protocols place,348
symptoms attending,347
sure strict,347
attending tomorrow,346
place safety,346
note user,345
nctsmtown_dream please,345
safety everyone,345
tomorrow prerecording,344
nico hulkenberg,344
march 2022,343
user still,343
prerecording nctsmtown_dream,343
else venue,343
venue tomorrow,342
vaksin covid,341
hi smtownglobal,339
per 1k,336
covid19 vaccine,329
covid deaths,328
1k population,323
detrick place,322
19 come,320
17 2022,318
joe biden,315
vaksinasi covid,310
come fort,308
put together,303
booster dose,303
pandemia covid,299
population county,298
vacunas covid,294
cases per,291
ayo indonesia,284
nuevos contagios,282
vaccinated travellers,281
place origin,271
coronavirus covid,268
protokol kesehatan,268
marzo 2022,268
truth report,266
casos positivos,266
long covid,260
casos nuevos,259
prime minister,258
pandemia covid19,257
dos años,256
kasus covid,256
covid19 covid_19,253
casos coronavirus,252
new york,252
soon seb,249
aston martin,246
vaccine doses,244
19 us,238
origin covid,237
aumento casos,236
daily covid,235
last 24,233
casos activos,231
dose covid,229
died covid,227
vacunación covid,224
vaccine booster,223
active cases,223
coordinator jeff,223
coronavirus vaccine,221
doses administered,220
omicron covid19,216
dr ashish,216
19 infection,215
confirmed cases,214
years ago,213
long term,212
daily us,211
banned people,210
cases county,210
people talking,206
covid19 vaccines,206
casos covid19,206
12 14,205
19 patients,205
detrick banned,204
covid19 vaccination,204
da covid,203
contagios covid,203
report confirmed,202
cuarta dosis,201
19 came,200
fake news,199
covid covid,199
mental health,197
anything embarrassing,196
embarrassing lie,196
lie exposed,196
19 transmission,195
penyebaran covid,195
new coronavirus,194
pre arrival,194
us military,193
19 update,191
muertes covid,191
strong evidence,191
help us,191
exposed birthplace,190
people died,188
virus around,188
moderna seeks,188
military brought,186
brought virus,186
many people,185
detrick birthplace,185
evidence rebuttal,185
fda authorization,184
smtownglobal nctsmtown_dream,184
positive coronavirus,182
omicron variant,181
test positive,180
100 000,179
come forward,178
trying cover,178
speaking truth,177
19 years,177
arrival covid,177
authoritatively recognized,176
tell truth,176
people put,175
via youtube,175
cover truth,175
vacuna covid,175
seeks fda,175
mask mandates,174
19 finally,174
detrick ve,174
ve trying,174
booster shot,173
detrick authoritatively,173
recognized birthplace,173
lot like,173
covid19 covidisnotover,172
together report,172
report blessed,172
blessed bravery,172
bravery speaking,172
disease 19,172
like bioweapon,171
bioweapon attack,171
attack mode,171
us government,171
