coronavirus,235581
covid,213864
19,201153
covid19,185252
new,47389
cases,41196
amp,35401
people,33097
pandemic,30208
via,23015
us,22049
casos,21915
da,21112
news,20732
virus,19761
deaths,18611
health,17800
2020,16646
like,16344
get,16141
trump,15761
000,15684
lockdown,14810
one,14638
time,14500
world,14197
si,13582
realdonaldtrump,13344
crisis,12937
di,12827
pandemia,12198
help,12194
still,11823
today,11618
june,11530
says,11511
zealand,11468
total,11359
due,11250
please,11239
china,11227
day,11195
spread,11192
know,11070
não,11058
need,11047
em,10719
read,10644
would,10641
government,10640
positive,10475
back,10377
see,10337
corona,10275
social,10168
country,10086
many,10044
may,9987
na,9876
work,9854
go,9782
could,9670
death,9644
state,9638
test,9630
com,9614
good,9572
home,9496
uk,9492
et,9198
free,9048
10,9044
well,9042
india,8939
going,8813
take,8796
il,8479
even,8427
last,8329
also,8261
first,8237
data,8237
per,8153
re,8072
patients,7997
economy,7997
support,7901
care,7861
des,7819
live,7804
protests,7591
brasil,7481
global,7398
number,7352
covid_19,7331
salud,7256
since,7242
days,7230
du,7215
business,7164
mais,7139
país,7114
public,7050
right,7047
said,7016
think,6985
make,6908
great,6905
testing,6877
24,6779
hospital,6725
the,6714
latest,6675
week,6628
let,6519
die,6502
impact,6488
million,6484
lives,6467
post,6408
way,6390
delhi,6378
um,6357
must,6348
update,6337
dan,6326
want,6313
masks,6312
response,6308
times,6238
keep,6210
say,6177
daily,6138
20,6093
much,6079
ser,6045
two,6037
tests,5995
safe,5991
tested,5991
restrictions,5971
report,5958
open,5951
stay,5882
made,5855
mundo,5818
100,5765
de,5695
case,5684
year,5673
really,5665
asymptomatic,5597
article,5573
mask,5569
black,5560
dos,5556
gobierno,5548
est,5530
risk,5500
states,5483
face,5465
life,5461
everyone,5449
usa,5446
come,5445
dados,5407
police,5392
months,5350
quarantine,5320
nuevos,5313
mortes,5310
personas,5307
look,5306
gente,5292
oms,5282
updates,5242
pour,5241
vaccine,5224
mil,5192
outbreak,5141
amid,5074
hope,5055
online,5013
uma,4968
next,4963
weeks,4946
reported,4932
gt,4915
active,4906
non,4896
done,4859
real,4829
12,4817
hoy,4813
distancing,4791
workers,4749
confirmed,4742
positivo,4712
check,4703
stop,4660
numbers,4652
got,4629
dr,4607
ve,4606
reopening,4599
coronavírus,4570
thanks,4560
every,4554
eu,4545
mas,4540
15,4491
normal,4487
end,4482
president,4472
monday,4465
countries,4462
contagios,4459
around,4440
fight,4439
never,4425
30,4424
county,4410
another,4400
ahora,4388
blacklivesmatter,4383
use,4363
video,4357
au,4346
long,4339
community,4339
nueva,4304
americans,4302
pacientes,4301
infections,4284
muertes,4282
city,4273
without,4250
bolsonaro,4248
find,4246
méxico,4236
recovery,4234
america,4226
media,4219
governo,4219
cuarentena,4218
symptoms,4206
presidente,4204
economic,4176
important,4171
study,4148
to,4142
medidas,4137
better,4135
saúde,4133
11,4122
market,4100
york,4093
govt,4091
working,4055
businesses,4049
died,4042
top,4021
thank,4009
family,4007
situation,3979
minister,3970
día,3956
lopezobrador_,3953
plan,3951
job,3946
travel,3940
así,3933
pm,3925
tem,3925
money,3919
reports,3915
getting,3908
protest,3897
hit,3894
hospitales,3886
junio,3848
watch,3841
rare,3818
information,3815
behind,3800
future,3785
van,3768
casa,3768
join,3766
06,3754
toll,3751
une,3747
best,3744
rate,3738
plus,3731
solo,3727
través,3717
high,3717
research,3712
कर,3707
medical,3707
14,3703
sur,3700
man,3689
change,3676
part,3676
arvindkejriwal,3672
ca,3666
recovered,3663
pas,3661
second,3628
caso,3626
things,3606
start,3592
yet,3589
hospitals,3586
50,3586
across,3577
big,3573
ever,3570
share,3569
va,3553
dans,3551
youtube,3550
control,3535
already,3517
students,3512
horas,3509
believe,3500
in,3495
thing,3487
school,3485
brazil,3483
person,3482
follow,3465
contact,3462
13,3444
pra,3444
ne,3434
continue,3423
18,3408
