gram,counts
covid 19,68073
19 cases,3824
positive covid,3525
19 vaccine,2431
tests positive,2008
new covid,1737
covid19 omicron,1656
omicron variant,1536
tested positive,1475
19 pandemic,1470
laju omicron,1382
casos covid,1359
new cases,1352
covid19 coronavirus,1205
covid omicron,1125
vaksinasi covid,1107
2022 01,1049
covid19 cases,1030
delta omicron,994
coronavirus covid19,992
19 vaccines,982
covid cases,923
covid19 vaccine,906
covid19 covid,880
19 vaccination,873
test positive,864
aoc tests,854
due covid,850
fully vaccinated,847
nuevos casos,826
omicron covid19,821
akselerasivaksinasimerdekacegah laju,811
get vaccinated,798
sars cov,770
data covid19,769
24 horas,765
coronavirus cases,764
24 hours,760
01 07,749
public health,739
health data,736
covid19 publichealth,736
07 covid,725
publichealth covid,724
covid insights,723
analytics team,723
usafacts datavisualization,723
datavisualization datascience,723
datascience analytics,723
analytics health,723
omicron globalhealth,723
insights analytics,708
team usafacts,708
pandemi covid,702
partying miami,700
miami maskless,690
19 partying,682
contagios covid,671
ocasio cortez,670
19 deaths,663
19 testing,654
nueva variante,651
covid covid19,598
january 2022,585
est pas,579
100 000,574
19 infections,571
get covid,567
últimas 24,566
last 24,559
positivo covid,555
150 000,548
19 di,541
19 test,533
alexandria ocasio,532
januari 2022,528
positive covid19,518
new york,512
coronavirus pandemic,508
get well,505
09 01,490
19 situation,490
covid19 pandemic,482
19 tests,482
supreme court,480
united states,475
qu il,472
active cases,471
new coronavirus,466
positivity rate,465
19 via,459
cases covid,458
health care,458
well soon,455
novak djokovic,454
many people,443
two years,435
covid deaths,435
wear mask,433
du covid,431
nuevos contagios,430
coronavirus covid,429
casos positivos,428
prime minister,427
01 2022,420
non vaccinés,418
long term,417
19 surge,415
covid19 omicronvariant,412
covid19 covid_19,408
casos covid19,408
testing positive,407
أمريكا السعودية,407
السعودية الامارات,407
الامارات لبنان,407
سوريا مصر,407
مصر ليبيا,407
ليبيا السودان,407
السودان فلسطين,407
فلسطين اليمن,407
اليمن روسيا,407
روسيا الصين,407
الصين الأمم_المتحدة,407
اليونسكو مجلس_الأمن,407
مجلس_الأمن اوروبا,407
إسرائيل تونس,407
تونس الاندلس,407
via youtube,406
booster shot,405
