gram,counts
nug needs support,12420
needs support aug14coup,6333
support aug14coup whatshappeninginmyanmar,6056
covid 19 cases,5023
needs support whatshappeninginmyanmar,4508
support whatshappeninginmyanmar aug14coup,4466
covid 19 vaccine,4357
crimesagainsthumanity aug14coup whatshappeninginmyanmar,4290
covid 19 amp,4107
min age limit,3430
08 2021 vaccine,3430
2021 vaccine vaccinepune,3430
vaccine vaccinepune cowin,3430
vaccinepune cowin covid19,3430
cowin covid19 pune,3430
age limit 18,3211
covishield min age,3007
18 dose1 capacity,2864
limit 18 dose1,2645
amp military coup,2588
19 amp military,2587
14 08 2021,2146
covid 19 vaccines,2094
died covid 19,2012
bersatupedulidanberbagisinergi tingkatkan imunitas,1856
dates available 14,1832
available 14 08,1832
fight covid 19,1827
15 08 2021,1741
covid 19 pandemic,1737
16 08 2021,1731
vaksinasi covid 19,1717
new covid 19,1692
covid 19 vaccination,1630
organisations fight covid,1613
every contribution counts,1612
contribution counts find,1610
covid 19 india,1588
year old boy,1575
find also help,1561
also help organisations,1561
help organisations fight,1561
counts find also,1558
acceptnug_rejectmilitary aug14coup whatshappeninginmyanmar,1557
13 year old,1550
covid 19 big,1545
tun lin naing,1543
big respect little,1543
respect little hero,1543
tirelessly collect bodies,1542
collect bodies died,1542
aug14coup dreadfulcovidamidmilitarycoup whatshappeninginmyanmar,1542
lin naing 13,1542
naing 13 year,1540
boy volunteers tirelessly,1540
volunteers tirelessly collect,1540
bodies died covid,1539
old boy volunteers,1539
19 big respect,1538
truely appreciate efforts,1538
little hero truely,1537
hero truely appreciate,1537
appreciate efforts aug14coup,1537
efforts aug14coup dreadfulcovidamidmilitarycoup,1535
needs support crimesagainsthumanity,1534
coup nug needs,1522
auspicerefugees acceptnug_rejectmilitary aug14coup,1515
mandalay monks union,1515
support crimesagainsthumanity auspicerefugees,1514
monks union sent,1514
union sent daily,1514
sent daily prayers,1514
daily prayers myanmar,1514
prayers myanmar people,1514
myanmar people opposing,1514
people opposing coup,1514
opposing coup safe,1514
coup safe disaster,1514
disaster covid 19,1514
crimesagainsthumanity auspicerefugees acceptnug_rejectmilitary,1513
safe disaster covid,1513
military coup nug,1512
situation kayah state,1511
kayah state today,1510
state today crimesagainsthumanity,1505
today crimesagainsthumanity aug14coup,1505
19 india covid19indiahelp,1490
whatshappeninginmyanmar aug14coup acceptnug_rejectmilitary,1484
infected covid 19,1447
madaing village waingmaw,1438
village waingmaw township,1421
waingmaw township crimesagainsthumanity,1417
township crimesagainsthumanity aug14coup,1417
myanmarcovidsos aug14coup whatshappeninginmyanmar,1378
people infected covid,1356
actual death toll,1346
400 people infected,1339
amp 215 died,1333
215 died aug,1333
died aug 12,1333
aug 12 actual,1333
12 actual death,1333
higher since sac,1333
lying nug needs,1333
controlled media announced,1332
announced 400 people,1332
death toll might,1332
toll might higher,1332
might higher since,1332
since sac always,1332
sac always lying,1332
always lying nug,1332
sac controlled media,1331
media announced 400,1331
19 amp 215,1328
military terrorist attack,1246
terrorist attack civilians,1245
pro democracy youths,1244
attack civilians weapons,1244
crimesagainsthumanity releasethedetainees immediately,1244
precious pro democracy,1243
appreciate great work,1242
great work precious,1242
work precious pro,1242
democracy youths monywa,1242
monywa nug needs,1240
releasethedetainees immediately whatshappeninginmyanmar,1240
youths monywa nug,1239
civilians weapons crimesagainsthumanity,1239
weapons crimesagainsthumanity releasethedetainees,1239
