gram,counts
covid 19,178134
coronavirus pandemic,9033
coronavirus covid19,7379
19 pandemic,5965
covid19 coronavirus,5676
new cases,5117
coronavirus cases,5081
19 cases,4950
cashless society,4768
new york,4599
coronavirus lockdown,4425
death toll,3894
via youtube,3874
coronavirus covid,3757
social distancing,3429
covid__19 coronavirus,3324
stay home,3285
coronavirus outbreak,3251
coronavirus crisis,3097
href rel,3074
rel nofollow,3074
true href,3014
19 deaths,2841
new coronavirus,2839
coronavirus death,2623
may 2020,2601
nofollow twitter,2596
white house,2560
due coronavirus,2553
covid19 pandemic,2544
due covid,2537
confirmed cases,2537
19 crisis,2429
19 patients,2398
coronavirus deaths,2380
nuevos casos,2318
amid coronavirus,2252
bbc news,2210
coronavirus via,2192
news coronavirus,2116
19 via,2091
tested positive,2067
towards cashless,2045
bill gates,2029
coronavirus patients,2018
casos covid,2012
coronavirus covid__19,1999
coronavirus response,1980
new covid,1953
100 000,1949
casos coronavirus,1894
19 lockdown,1860
nursing home,1854
pandemia coronavirus,1850
casos confirmados,1830
positive coronavirus,1808
24 hours,1777
society know,1776
public health,1737
corona virus,1717
gon na,1711
test positive,1702
coronavirus testing,1697
positive covid,1684
stay safe,1667
covid19 cases,1628
donald trump,1602
24 horas,1597
us coronavirus,1596
death rate,1593
jesus spoke,1591
amid covid,1564
bible spoke,1561
united states,1559
many people,1551
gt gt,1549
new deaths,1545
know bible,1542
twitter web,1529
due covid19,1528
coronavirus covid_19,1523
du coronavirus,1522
novel coronavirus,1521
know jesus,1481
heading towards,1472
19 death,1464
live updates,1456
via gatewaypundit,1430
spread coronavirus,1428
fight covid,1424
coronavirus live,1423
02 05,1404
fake news,1397
cases covid,1396
fight coronavirus,1394
year old,1368
nursing homes,1357
cases coronavirus,1354
coronavirus disease,1324
fight covid19,1319
19 outbreak,1312
total cases,1304
crisis coronavirus,1302
warren buffett,1296
china lied,1285
died coronavirus,1283
web app,1277
boris johnson,1271
people died,1265
looks like,1260
19 di,1258
covid_19 coronavirus,1256
casos positivos,1237
health care,1230
herd immunity,1227
positive cases,1224
cases deaths,1222
coronavirus vaccine,1216
du covid,1201
sars cov,1191
biggest political,1184
covid19 lockdown,1181
political hoax,1169
coronavirus tests,1160
covid19 deaths,1146
mental health,1143
contact tracing,1130
hype biggest,1129
world coronavirus,1129
five eyes,1124
dr fauci,1117
coronavirus update,1117
hoax history,1115
coronavirus hype,1097
president trump,1095
