covid,131462
19,117885
covid19,87422
coronavirus,47535
vaccine,24489
india,21717
amp,16097
people,14506
cases,13983
di,12415
new,12385
kamu,12303
pandemic,12268
get,11234
2021,11069
may,9920
protokol,9389
keluarga,9255
vaccination,9215
kesehatan,8918
health,8567
via,8373
us,8035
vaccines,8010
news,7704
ini,7623
untuk,7309
help,7226
casos,7070
one,6888
virus,6768
deaths,6613
vaccinated,6318
please,6265
like,5973
need,5550
juga,5457
da,5416
time,5292
government,5212
000,5165
tidak,5141
mudik,5129
world,5122
oxygen,5049
pfizer,5041
today,4937
year,4927
available,4885
dengan,4757
05,4755
dan,4741
hospital,4732
24,4711
due,4692
positive,4601
first,4457
corona,4445
pandemi,4386
et,4364
day,4360
pandemia,4352
kampung,4345
halaman,4319
10,4278
many,4257
last,4234
कर,4225
country,4213
still,4102
jaga,4102
03,4101
know,4050
crisis,4030
die,4020
na,4017
state,4007
lebarantundamudikjaga,3936
15,3911
lockdown,3877
terjangkit,3876
12,3872
patients,3870
take,3803
also,3796
test,3773
go,3752
says,3673
week,3643
covidindia,3638
would,3622
si,3604
good,3597
akan,3559
restrictions,3558
death,3556
des,3540
free,3528
even,3491
delhi,3486
18,3444
maka,3434
dari,3428
could,3413
vacuna,3406
agar,3391
semakin,3325
polri,3319
demi,3302
public,3292
total,3282
kemungkinan,3267
minim,3253
work,3199
kebaikan,3197
per,3192
sobat,3182
see,3167
salud,3160
yuk,3158
days,3141
care,3137
lebarantundamudik,3126
रह,3092
make,3083
ditahan,3052
rindunya,3049
getting,3034
said,3031
support,3014
the,3000
want,2997
data,2994
back,2964
let,2943
million,2940
vacunación,2938
well,2934
doses,2927
hal,2920
home,2918
est,2912
du,2910
20,2905
ipl,2898
florida,2880
50,2872
em,2855
going,2851
read,2839
two,2824
30,2815
dr,2803
china,2797
il,2796
2020,2792
next,2785
medical,2762
spread,2735
nuevos,2729
since,2721
wave,2714
media,2712
monday,2710
second,2703
vacunas,2703
emergency,2682
personas,2681
every,2680
immunity,2666
live,2664
update,2657
daily,2649
pour,2646
mask,2632
reports,2603
number,2601
पर,2590
dose,2587
fight,2571
keep,2560
merupakan,2528
way,2495
dosis,2479
safe,2478
say,2471
narendramodi,2470
seperti,2456
radicalescontralacovid,2429
indian,2428
masa,2423
local,2416
right,2406
life,2402
re,2402
use,2392
much,2392
johnson,2392
appointment,2377
govt,2359
terhindar,2350
got,2342
reported,2331
ayo,2323
stay,2322
countries,2320
00,2317
pm,2317
think,2307
com,2303
to,2289
sign,2287
times,2284
report,2283
mayo,2278
everyone,2271
end,2269
risk,2267
social,2265
terhadap,2264
mil,2258
must,2250
latest,2248
21,2238
age,2237
rasa,2237
100,2233
check,2227
global,2206
lives,2206
give,2204
ve,2198
great,2188
sayang,2187
county,2168
canada,2158
thank,2157
wujud,2157
lho,2153
mais,2146
años,2136
thanks,2134
states,2132
tested,2129
penyebaran,2123
travel,2116
situation,2115
और,2111
long,2107
der,2103
stop,2101
45,2089
in,2089
contagios,2087
rate,2073
modi,2072
uk,2065
case,2054
testing,2048
open,2031
high,2026
und,2025
masks,2022
family,2019
never,2016
yang,2002
around,1990
11,1976
children,1973
sa,1972
recovery,1970
covidsecondwaveinindia,1964
covid_19,1963
नह,1941
herd,1938
medidas,1925
appointments,1923
come,1920
information,1913
14,1900
really,1894
hoy,1892
pas,1890
gt,1890
video,1862
país,1861
shot,1858
desantis,1858
business,1854
pmoindia,1852
17,1851
near,1845
covid19vaccine,1842
non,1824
gov,1823
months,1819
hope,1809
amid,1803
semana,1788
muertes,1782
made,1779
ke,1772
community,1766
school,1762
better,1760
ca,1759
16,1748
post,1736
variants,1735
covid19india,1726
across,1721
04,1721
au,1720
une,1718
years,1700
workers,1695
13,1695
jangan,1682
continue,1674
another,1672
hospitals,1670
lebaran,1670
yet,1666
trump,1663
man,1662
eu,1662
das,1661
variante,1656
โคว,1651
died,1650
active,1644
astrazeneca,1641
important,1637
tests,1627
surge,1627
online,1625
done,1619
ipl2021,1617
order,1615
mundo,1613
safety,1610
kkr,1607
april,1605
money,1601
numbers,1595
find,1590
control,1587
population,1586
best,1578
without,1578
méxico,1576
city,1571
call,1567
plasma,1567
real,1564
recovered,1563
brasil,1562
infection,1560
disease,1559
follow,1557
hai,1556
dans,1547
early,1543
big,1543
part,1538
3may,1536
não,1531
look,1527
millones,1525
system,1522
response,1520
month,1515
plus,1508
experts,1507
hours,1506
día,1505
students,1502
sir,1500
je,1487
minister,1486
person,1474
anti,1471
ser,1452
variant,1452
polisi_jatim,1452
save,1449
ne,1449
already,1446
moderna,1444
tetap,1436
love,1433
full,1432
जन,1429
face,1429
updates,1429
fda,1427
sur,1425
study,1424
learn,1423
doctors,1423
cvs,1421
start,1418
500,1411
lunes,1410
relief,1396
bengal,1393
breaking,1392
soon,1392
impact,1390
vaccinations,1390
treatment,1389
orders,1389
working,1385
dos,1382
west,1373
infections,1372
share,1366
usa,1366
team,1365
centre,1364
fully,1364
science,1364
ontario,1363
watch,1362
weeks,1361
horas,1357
60,1356
article,1353
national,1350
argentina,1344
van,1341
25,1330
change,1328
plan,1328
needs,1327
protect,1326
group,1317
biden,1316
belum,1310
including,1308
players,1306
saat,1299
show,1298
cdc,1295
australia,1289
ce,1289
venezuela,1287
enough,1285
far,1285
god,1285
visit,1283
kita,1283
of,1275
gobierno,1271
taking,1270
segunda,1270
qui,1265
blood,1264
youtube,1259
least,1257
put,1253
and,1247
others,1244
coronasecondwave,1239
resources,1237
um,1232
anyone,1229
place,1225
join,1222
research,1219
president,1219
police,1209
link,1208
patient,1204
ages,1204
70,1199
governor,1199
confirmed,1196
pa,1194
related,1192
together,1191
healthcare,1186
staff,1184
set,1184
yes,1184
fallecidos,1181
través,1179
sure,1173
info,1170
america,1167
hit,1166
wear,1158
reach,1155
contact,1148
het,1146
bad,1144
sars,1143
outbreak,1135
list,1134
found,1133
रत,1133
american,1132
old,1131
40,1128
bill,1118
point,1117
york,1117
normal,1115
received,1112
coronapandemic,1110
current,1110
ist,1109
things,1106
south,1105
believe,1102
thing,1102
caso,1099
effects,1097
hi,1095
bersama,1094
lebarantanpamudikjaga,1094
coming,1089
making,1088
ever,1088
past,1087
lost,1087
symptoms,1085
de,1085
bjp,1079
scientists,1077
सरक,1076
provide,1076
kids,1074
it,1074
measures,1074
namun,1074
doctor,1073
par,1072
food,1069
no,1069
job,1066
cause,1065
मर,1065
vous,1063
nicolasmaduro,1060
according,1060
nothing,1060
members,1058
va,1055
despite,1054
2nd,1053
covidemergency,1050
possible,1047
wuhanvirus,1047
pacientes,1045
tell,1044
indonesia,1043
coronaviruspandemic,1040
drug,1039
top,1039
ng,1037
always,1036
últimas,1034
based,1033
infected,1031
americans,1028
able,1027
effective,1024
match,1024
dying,1023
book,1023
पत,1023
party,1023
masih,1021
oh,1021
three,1021
vacina,1019
citizens,1016
gente,1015
among,1015
district,1014
icu,1013
away,1012
días,1011
likely,1009
ingat,1009
postponed,1007
hard,1004
economic,1002
एक,1002
etc,1001
ll,1001
pakistan,1000
france,1000
someone,999
alberta,999
efforts,997
supply,994
international,987
businesses,985
pcr,985
used,984
flu,981
less,979
site,979
vaccin,979
quarantine,978
shots,974
twitter,973
something,972
air,970
ahora,970
human,967
23,966
schools,966
westbengal,966
avec,965
officials,963
lot,962
access,961
vía,960
wait,958
fin,953
service,950
power,950
virtual,949
semaranghumas,949
cov,948
friends,942
given,942
center,940
selalu,940
primera,939
solo,938
following,938
become,937
positivos,937
federal,936
bir,936
shortage,935
ago,934
cnn,933
residents,933
beds,932
aja,931
supplies,928
covidhelp,925
economy,925
young,924
women,922
mental,922
mencegah,921
ki,921
nation,921
official,921
la,920
bed,919
this,918
menos,917
millions,916
side,914
cómo,914
mas,913
program,913
education,912
low,911
el,904
300,902
ko,901
fee,901
dead,900
kerumunan,900
rt,899
might,897
future,897
prevención,897
rumah,896
everything,896
story,895
services,894
using,894
for,894
san,893
22,892
así,892
im,892
chinese,891
கள,890
staysafe,888
ऑक,885
oms,883
boleh,882
qu,881
vs,879
guidelines,879
fake,878
ang,877
spike,876
looking,876
authorize,875
02,874
donate,874
fact,874
level,873
अपन,873
on,873
trying,866
nicht,866
bien,865
28,865
mai,864
personal,863
trends,861
critical,861
indiafightscorona,860
mit,859
political,858
01,857
saying,857
single,856
cricket,855
we,852
protocols,851
29,850
actually,850
increase,849
africa,848
jarak,848
feel,846
called,846
helping,845
nuevas,844
kasus,843
market,843
bu,841
true,840
israel,840
fund,838
announced,838
cowinnotifier,838
ccp,836
mayores,836
bisa,835
sonusood,834
negative,834
aid,832
told,830
vida,830
nuevo,830
record,828
you,825
ban,825
población,825
court,824
ou,821
election,820
whole,820
small,819
27,819
taken,819
oxygencrisis,818
लग,817
tras,817
cada,817
contre,816
sick,814
ai,814
details,813
different,812
needed,811
thousands,811
ccpvirus,811
registra,809
distancing,808
leaders,808
within,808
für,806
adults,806
app,805
name,805
मह,803
karnataka,803
rates,803
vax,802
action,802
eligible,802
aquí,801
इस,801
started,801
is,801
drlimengyan1,801
availability,800
59,799
todas,799
demand,799
mohfw_india,798
rcb,798
ด19,797
brazil,797
reporting,796
den,796
hands,794
affected,793
questions,792
term,790
ka,789
march,789
left,786
rules,785
covidvaccine,784
nacional,784
unite2fightcorona,782
करन,782
ça,782
covidsecondwave,780
register,780
हम,779
26,778
80,778
tweet,777
orang,776
primer,775
en,775
remember,775
toll,774
contagio,774
auf,774
sunday,773
close,772
europe,772
seen,771
shows,771
रक,770
problem,770
ramadan,769
pemerintah,768
spreading,768
central,768
een,768
positivo,766
clinic,766
wearing,765
administration,765
uma,764
basın,764
families,760
hindari,760
issues,757
enfermedad,756
mortes,756
seems,756
key,755
united,755
zu,755
nous,753
31,752
instead,752
makes,752
almost,752
continues,751
mumbai,749
कम,749
casi,749
suffering,746
fucking,746
act,745
general,745
mayor,743
closed,743
campaign,743
er,743
heart,741
che,741
jab,740
petition,739
noticias,739
reason,738
información,737
medicine,737
try,736
means,736
गय,735
biontech,735
टर,734
1st,733
gates,732
coronavaccine,732
third,732
expected,732
understand,731
vez,731
sont,729
north,729
fear,728
gets,728
till,726
fall,726
transmission,725
distribution,725
freedom,723
kebutuhan,723
request,722
run,721
cas,720
tomorrow,718
400,718
maharashtra,716
200,716
puede,715
behind,715
wrong,715
covidisairborne,714
datos,712
ask,711
kill,710
kali,709
von,709
recent,709
drive,708
mrna,708
मल,707
happy,707
severe,707
currently,706
covax,705
lupa,704
game,702
berbelanja,702
99,701
digital,700
essential,699
ministry,698
drharshvardhan,698
listen,698
año,697
yaa,697
event,696
उन,696
hingga,696
hold,695
nearly,695
sputnik,694
potus,693
living,693
reda,691
mondaythoughts,689
super,689
pay,688
wo,687
dia,685
waiting,685
ron,685
35,684
especially,683
hace,683
muertos,682
anything,682
restricciones,682
rise,682
cuba,682
sc,681
adultos,681
shit,680
op,679
office,679
foreign,677
additional,676
question,676
area,676
prevent,676
up,675
mei,674
press,673
34,671
board,671
fuck,671
provincia,671
yg,669
walk,669
sarscov2,668
als,667
rayakan,667
results,666
billion,666
सर,666
flights,665
department,665
मन,665
immune,665
अस,664
employees,664
chief,664
gracias,663
five,663
pernah,661
2019,659
vacinação,659
mean,658
68,657
ones,657
wuhan,657
