covid,48966
19,40070
covid19,26557
coronavirus,11675
cases,5070
new,4685
amp,4670
pandemic,4516
people,4134
vaccine,3966
2022,3906
18,3497
us,3309
deaths,3296
health,3194
casos,3161
omicron,3074
di,2975
get,2972
die,2486
via,2218
news,2179
virus,2169
data,2107
china,2058
world,2011
march,1956
pandemia,1854
one,1824
like,1812
03,1788
da,1783
il,1714
years,1707
day,1704
per,1671
still,1634
24,1634
moderna,1623
dose,1623
well,1605
test,1589
latest,1577
time,1558
vaccines,1544
et,1544
14,1518
booster,1514
vaccination,1512
der,1447
ukraine,1440
und,1422
000,1406
two,1397
would,1396
need,1372
soon,1370
des,1365
report,1334
detrick,1333
fort,1332
first,1325
today,1319
nuevos,1312
know,1306
many,1303
analytics,1302
public,1273
2020,1263
government,1245
dosis,1208
vaccinated,1197
since,1175
17,1167
positive,1164
corona,1148
the,1144
das,1119
mask,1118
du,1115
pfizer,1113
says,1112
truth,1110
si,1109
10,1107
salud,1107
death,1103
restrictions,1099
contagios,1092
marzo,1090
dan,1089
care,1084
update,1075
county,1073
week,1068
testing,1065
last,1061
see,1061
uk,1049
est,1033
come,1030
pour,1020
cdc,1019
na,1013
variant,1009
due,994
long,992
could,989
even,989
year,988
team,987
india,977
fauci,973
million,970
total,969
em,969
also,968
help,968
back,962
go,955
using,952
tests,948
12,943
ist,939
non,927
dr,918
shot,915
children,911
11,902
home,897
may,893
fda,891
re,887
travel,870
good,869
going,865
please,865
infection,864
nicht,857
take,856
15,855
masks,854
reported,852
said,851
reports,848
vacunación,846
une,843
work,838
patients,836
risk,833
read,828
100,822
daily,820
años,814
right,812
study,812
20,805
vacuna,790
30,786
response,785
hospital,782
canada,780
wave,779
next,777
state,776
end,774
2021,766
global,765
disease,765
second,763
spread,762
countries,757
say,751
publichealth,750
ba,748
friday,743
days,740
che,736
country,731
infections,723
population,722
another,721
confirmed,721
impact,720
americans,716
let,716
hong,715
think,713
community,713
make,712
want,711
kong,709
insights,704
de,704
