covid,238524
coronavirus,226598
19,216900
covid19,157613
cases,45357
people,40206
amp,39509
trump,36571
new,35707
bolsonaro,33907
pandemic,31485
us,30213
virus,25818
via,25725
positive,23702
realdonaldtrump,22686
get,22217
deaths,21827
one,20934
news,20797
health,20535
like,20513
world,17714
da,17509
000,16889
time,16245
casos,16043
2020,15715
president,14796
death,14606
não,14580
back,14526
would,14521
com,14423
care,14099
tests,14081
mask,13925
need,13816
know,13632
test,13191
china,13140
says,13076
still,12888
go,12495
positivo,12487
si,12359
masks,12184
many,12158
home,12114
help,12054
government,11919
spread,11892
lockdown,11857
na,11838
due,11790
going,11700
state,11687
take,11414
day,11374
di,11246
testing,11138
see,11121
even,11060
good,11045
the,11009
could,10956
today,10917
please,10692
covidー19,10604
country,10576
first,10527
jair,10505
presidente,10488
crisis,10284
florida,10185
corona,10185
re,10171
think,9935
may,9849
well,9719
vaccine,9704
total,9674
july,9673
work,9586
right,9523
said,9497
schools,9401
ele,9393
tested,9359
public,9286
10,9119
pandemia,9049
make,9006
india,8804
also,8748
eu,8743
patients,8728
em,8692
states,8682
want,8658
rate,8649
say,8630
die,8595
brazil,8416
really,8405
wear,8342
read,8308
year,8156
let,8128
americans,7986
got,7925
live,7914
social,7903
polriajaktatananhidupbaru,7900
hospital,7863
way,7820
students,7731
much,7622
million,7503
uma,7478
keep,7423
brasil,7418
school,7364
dan,7362
um,7331
data,7308
response,7222
america,7166
20,7131
to,7103
stop,7039
per,7024
risk,7021
face,6923
since,6918
usa,6887
business,6814
days,6800
last,6790
mais,6754
months,6737
number,6722
safe,6609
support,6569
must,6568
pra,6562
et,6561
children,6506
lives,6400
every,6398
dr,6342
look,6331
open,6322
another,6313
daily,6290
life,6278
money,6270
great,6266
ser,6256
stay,6221
texas,6200
case,6181
il,6166
times,6165
two,6118
cloroquina,6110
uk,6099
next,6039
never,5998
workers,5981
airborne,5924
real,5909
died,5902
week,5854
everyone,5850
getting,5820
update,5806
global,5764
latest,5746
in,5720
long,5690
salud,5679
post,5637
report,5628
07,5624
come,5603
better,5586
homes,5573
24,5557
county,5550
family,5503
des,5474
amid,5426
100,5425
economy,5424
kids,5388
man,5320
high,5289
mas,5268
impact,5231
vai,5225
media,5162
wearing,5157
around,5157
fight,5132
nuevos,5123
without,5110
du,5096
and,5052
outbreak,5050
gt,5038
free,5016
yet,4980
numbers,4979
use,4961
confirmed,4961
online,4944
job,4932
hope,4922
gop,4913
reported,4867
mundo,4866
weeks,4853
só,4842
made,4833
fauci,4829
melbourne,4792
thing,4785
symptoms,4779
medical,4770
gente,4761
país,4738
11,4736
countries,4712
study,4710
ca,4690
city,4683
flu,4674
years,4642
put,4626
plan,4607
mil,4605
of,4605
done,4566
tem,4540
american,4538
oms,4522
ve,4522
already,4516
hit,4508
oh,4491
control,4490
evidence,4476
businesses,4470
check,4460
mayor,4455
sure,4437
give,4421
surge,4416
close,4401
person,4387
trumpvirus,4371
bad,4338
30,4338
thanks,4318
national,4304
dos,4297
big,4284
cnn,4258
believe,4236
nothing,4204
anyone,4197
australia,4193
pay,4184
est,4183
part,4179
staff,4160
updates,4148
immunity,4147
personas,4144
article,4132
needs,4127
contagios,4123
15,4102
someone,4089
ahora,4088
top,4058
end,4047
continue,4043
best,4032
esse,4024
disease,4017
infected,4011
god,4006
jairbolsonaro,3998
community,3992
away,3988
