gram,counts
covid 19,188950
19 cases,6794
19 pandemic,6728
coronavirus pandemic,6391
coronavirus covid19,6034
coronavirus cases,5913
positive covid,5192
covid19 coronavirus,4983
tested positive,4077
new cases,4008
white house,3166
19 vaccine,3116
tests positive,2793
nuevos casos,2791
casos covid,2764
positive coronavirus,2758
coronavirus vaccine,2746
covid19 pandemic,2658
new covid,2621
new york,2598
due covid,2519
public health,2393
via youtube,2315
19 patients,2264
casos coronavirus,2258
new coronavirus,2247
19 test,2244
19 deaths,2227
social distancing,2217
coronavirus relief,2175
test positive,2165
wear mask,2143
amid coronavirus,1959
19 testing,1928
covid19 cases,1923
silver bullet,1907
coronavirus covid,1872
coronavirus outbreak,1869
covid_19 covid19,1853
donald trump,1849
covid_19 coronavirus,1845
coronavirus deaths,1833
bbc news,1798
death toll,1791
school district,1768
19 crisis,1746
dr birx,1697
news coronavirus,1632
august 2020,1625
via gatewaypundit,1558
nursing homes,1538
19 via,1524
dr fauci,1520
united states,1517
quizás nunca,1508
24 horas,1488
pandemia coronavirus,1487
due covid19,1480
coronavirus covid_19,1458
sars cov,1447
casos positivos,1445
260 employees,1431
health care,1411
new phase,1385
covid19 covid_19,1366
gon na,1364
spread covid,1361
live updates,1349
da covid,1331
due coronavirus,1323
fake news,1317
new post,1309
19 di,1300
casos confirmados,1297
cases covid,1284
gt gt,1280
amid covid,1276
last week,1272
president trump,1270
first time,1266
many people,1259
long term,1259
extraordinarily widespread,1251
wear masks,1247
19 outbreak,1237
24 hours,1232
bill gates,1227
wearing mask,1225
confirmed cases,1208
relief bill,1199
trump administration,1188
90 minute,1184
employees georgia,1182
coronavirus response,1180
back school,1178
pandemia covid,1177
últimas 24,1177
03 08,1129
year old,1120
task force,1119
19 tests,1104
spread coronavirus,1100
19 exposed,1086
novel coronavirus,1085
vacuna covid,1080
wearing masks,1071
coronavirus live,1068
américa latina,1057
nunca solución,1056
stay home,1052
hong kong,1027
pandemia covid19,1025
spread covid19,1016
coronavirus testing,1007
coronavirus crisis,1001
go back,997
active cases,996
deborah birx,993
impact covid,971
largest school,969
19 response,963
19 relief,962
positive covid19,961
high school,959
coronavirus via,957
video via,956
new deaths,954
social media,952
pandemic bad,949
corona virus,946
vacuna rusa,946
second wave,943
died covid,940
bad america,936
coronavirus update,933
may never,925
19 death,914
cruise ship,909
mental health,904
000 people,899
face masks,898
control coronavirus,894
coronavirus argentina,893
coronavirus lockdown,890
death rate,888
000 americans,888
small businesses,880
georgia largest,880
america atlantic,879
150 000,871
in person,870
agosto 2020,868
people died,868
open schools,862
cases deaths,856
coronavirus test,856
positive cases,852
response covid,837
000 covid,837
looks like,831
08 2020,831
coronavirus new,825
19 update,822
tests covid,822
total cases,820
19 coronavirus,816
solución coronavirus,816
around world,815
every day,812
stay safe,805
19 positive,804
schools reopen,802
contact tracing,799
good news,797
coronavirus tests,796
cases coronavirus,792
whitehouse realdonaldtrump,787
coronavirus aid,784
contagios covid,777
experts say,777
clinical trials,775
pandemi covid,769
covid19 deaths,768
cover up,766
minute tests,765
casos covid19,764
19 vaccines,764
protokol kesehatan,759
covid19 vaccine,758
voluntarios recibieron,756
common cold,755
new covid19,754
trump criticizes,754
make sure,749
pacientes covid,743
100 000,738
test results,738
positivos covid,737
coronavirus iran,735
loses parents,732
last 24,730
china virus,730
york times,729
data leak,725
parents covid,725
amit shah,722
du coronavirus,722
50 000,722
coronavirus death,720
rusa covid,715
casos nuevos,713
19 virus,712
look like,708
get covid,703
stop spread,697
recibieron vacuna,697
must read,694
positivo covid,693
us coronavirus,692
people die,691
top story,690
big pharma,687
coronavirus restrictions,685
19 case,685
every possible,685
19 treatment,684
desarrollaron inmunidad,684
birx warns,682
fight covid,680
spreading coronavirus,677
coronavirus surge,675
iran cover,674
squandered every,672
19 lockdown,671
get tested,671
possible opportunity,669
ample warning,667
despite ample,664
boris johnson,663
face mask,663
washington post,661
oms afirma,657
coronavirus task,656
new 90,656
doug pederson,652
opportunity control,652
19 em,650
post covid,649
american people,647
nancy pelosi,646
birx says,646
stabbing bulls,646
nuevo coronavirus,645
stop stabbing,645
bulls death,641
south africa,640
000 dead,638
nicole neumann,637
criticizes birx,637
deaths revealed,634
cases reported,634
warning squandered,632
19 flu,630
19 desarrollaron,630
scientific expertise,629
revealed data,628
positif covid,624
biomedical might,621
one day,620
phase coronavirus,620
considerable advantages,620
might scientific,620
resources biomedical,619
reopening schools,618
immense resources,618
casos activos,617
advantages immense,617
ministerio salud,616
nursing home,616
it floundered,616
young people,615
expertise it,615
join us,610
health officials,609
federal government,608
despite considerable,604
coronavirus infection,600
help us,597
000 deaths,597
nuevos contagios,596
need know,595
positivo coronavirus,595
coronavirus corona,594
90 minutes,591
rusia suministrará,591
covid19 sarscov2,588
covid19 covid,587
edyong209 writes,587
per day,584
up deaths,583
fight covid19,583
died covid19,582
cruise ships,582
back work,582
contagios coronavirus,580
health crisis,580
would like,577
trump amp,576
covid19 test,575
wash hands,575
health department,573
never silver,573
19 amp,572
get back,570
20 000,570
treatment covid,567
house coronavirus,566
coronavirus edyong209,566
vacuna coronavirus,562
muertes coronavirus,560
deaths reported,560
global pandemic,559
covid19 patients,559
total number,559
herd immunity,557
people dying,552
either tested,550
realdonaldtrump trump,547
dr deborah,542
corona covid19,542
muertes covid,542
covid19 crisis,542
países américa,539
19 restrictions,538
covid19 amp,538
deaths covid,536
fin semana,536
save lives,536
world health,536
joenbc foxandfriends,534
foxandfriends cnn,534
covid coronavirus,532
realdonaldtrump joenbc,532
critically ill,530
via nytimes,530
19 infections,528
