coronavirus,183233
covid,165303
19,157923
covid19,113135
cases,41520
trump,39521
people,32561
new,31133
amp,30291
virus,22472
pandemic,21585
deaths,20705
us,20035
via,19405
news,17877
get,16989
one,16826
000,16270
like,15804
realdonaldtrump,15245
casos,14504
mask,13371
health,13248
positive,13039
world,12672
masks,12261
day,12238
testing,12120
time,12039
would,11453
2020,11317
death,11290
need,10644
know,10221
test,9987
please,9710
help,9619
india,9544
si,9441
spread,9429
even,9338
state,9118
many,9118
total,9012
go,8977
see,8770
still,8716
could,8703
vaccine,8579
right,8559
10,8505
going,8453
crisis,8424
data,8116
back,7975
says,7965
country,7909
take,7833
government,7821
good,7714
think,7695
make,7556
lockdown,7467
america,7431
the,7391
want,7317
daily,7305
much,7286
due,7284
di,7252
cdc,7166
corona,7154
president,7137
china,7061
wear,7000
da,6997
die,6974
response,6927
also,6926
pandemia,6878
na,6872
today,6825
said,6781
florida,6743
states,6717
dr,6704
may,6703
home,6700
re,6670
stop,6639
work,6631
public,6538
well,6508
fauci,6442
reports,6393
july,6257
24,6221
say,6160
children,6126
care,6101
tests,6036
first,6023
americans,5983
tested,5958
let,5953
patients,5931
number,5901
way,5885
times,5851
gop,5822
20,5788
really,5735
control,5714
face,5675
social,5670
numbers,5654
year,5611
covidー19,5568
read,5568
rate,5533
live,5506
plan,5412
house,5376
hospital,5367
last,5301
schools,5283
texas,5277
top,5276
great,5226
school,5185
reported,5182
per,5180
since,5145
global,5093
every,5088
nuevos,4954
million,4894
died,4869
must,4811
days,4806
week,4794
uk,4787
keep,4780
et,4763
life,4762
real,4740
another,4711
risk,4689
study,4656
never,4655
county,4647
eu,4643
post,4613
record,4591
outbreak,4590
months,4574
case,4568
stay,4562
kids,4541
salud,4536
biden,4519
everyone,4497
got,4487
usa,4463
look,4461
economy,4424
to,4397
safe,4381
em,4371
money,4363
long,4338
100,4338
latest,4331
wearing,4308
lives,4298
come,4286
du,4254
media,4247
dan,4245
better,4233
in,4232
report,4174
man,4158
york,4153
il,4150
family,4134
getting,4111
infected,4101
mundo,4089
support,4074
des,4070
flu,4030
dead,4002
use,3976
com,3931
sunday,3915
without,3897
two,3892
white,3883
covid_19,3882
update,3870
contagios,3790
confirmed,3788
ca,3781
18,3765
personas,3743
não,3728
administration,3714
open,3711
situation,3696
amid,3685
medical,3682
est,3663
around,3656
made,3651
mil,3643
business,3629
gente,3606
país,3601
away,3599
science,3577
american,3563
done,3546
14,3543
countries,3542
fight,3528
hope,3523
ser,3516
national,3514
12,3500
believe,3495
job,3490
gt,3480
high,3472
tracing,3441
11,3435
second,3430
next,3406
recovery,3394
leadership,3391
bill,3375
start,3373
disease,3372
yet,3365
video,3355
give,3352
muertes,3346
thing,3344
and,3331
relief,3330
updates,3329
ve,3320
recovered,3317
nothing,3311
put,3304
non,3283
south,3259
free,3258
years,3257
best,3254
surge,3251
fox,3249
toll,3242
15,3237
far,3229
staff,3219
bad,3194
students,3188
कर,3181
trying,3175
needs,3174
person,3168
sa,3164
weeks,3163
anyone,3160
thanks,3151
youtube,3148
sick,3143
show,3138
thank,3137
protect,3129
quarantine,3074
gobierno,3068
god,3068
part,3064
140,3062
single,3056
already,3052
contact,3052
hoy,3039
mais,3027
something,3013
article,2997
día,2996
infections,2996
600,2979
results,2978
end,2977
increase,2961
donald,2959
less,2938
watch,2929
old,2924
truth,2911
lost,2905
big,2897
others,2897
tell,2891
sure,2889
local,2884
yes,2876
solo,2866
impact,2866
story,2850
working,2839
vote,2837
पर,2811
doctors,2810
ever,2803
wrong,2802
julio,2801
30,2799
follow,2793
election,2782
sign,2779
community,2777
someone,2773
symptoms,2769
things,2766
of,2761
population,2759
failure,2751
govt,2747
presidente,2747
ahora,2744
rise,2738
positivo,2733
hospitals,2728
interview,2722
call,2719
50,2709
find,2705
it,2686
ll,2683
dos,2676
making,2675
officials,2667
de,2657
va,2653
taking,2647
close,2644
spike,2642
enough,2642
pour,2640
minister,2634
love,2628
así,2616
workers,2598
least,2597
including,2595
check,2582
continue,2575
full,2569
governor,2565
07,2557
pas,2556
breaking,2556
political,2556
anything,2555
infection,2553
fake,2550
रह,2544
city,2542
human,2523
covid__19,2522
cnn,2515
everything,2511
oh,2510
distancing,2505
méxico,2504
soon,2496
research,2491
funding,2477
told,2475
shit,2474
cause,2470
hit,2465
little,2465
और,2463
um,2450
fear,2444
saying,2442
march,2432
always,2429
safety,2427
left,2425
dying,2424
lead,2414
information,2413
hours,2404
order,2395
actually,2393
mas,2390
domingo,2386
coming,2384
fallecidos,2380
kong,2378
save,2363
important,2360
40,2354
police,2350
medidas,2347
handling,2345
dans,2340
wants,2337
hong,2333
casa,2333
no,2326
poll,2324
across,2322
false,2320
point,2319
días,2316
highest,2315
shows,2313
muertos,2312
leaders,2308
rt,2302
une,2298
adults,2292
travel,2288
finds,2280
13,2273
economic,2272
true,2264
pm,2264
change,2262
maybe,2258
nation,2257
hard,2246
van,2246
lot,2243
might,2239
block,2236
sir,2236
positivos,2235
ccp,2234
market,2232
través,2222
worse,2216
brasil,2214
lies,2214
month,2211
kill,2211
united,2207
au,2206
doctor,2206
plus,2200
active,2196
etc,2188
is,2187
using,2185
worst,2184
nytimes,2184
menos,2181
gov,2180
system,2175
mayor,2170
link,2162
yang,2159
republicans,2153
we,2152
pacientes,2145
couple,2139
homes,2133
fact,2130
this,2128
common,2126
federal,2125
potus,2116
reporting,2108
17,2106
mean,2104
25,2099
cuarentena,2098
venezuela,2095
online,2093
inside,2092
nuevo,2084
bien,2084
place,2074
immunity,2068
19jul,2063
nursing,2055
stupid,2054
85,2051
almost,2050
problem,2045
treatment,2041
feel,2041
spreading,2040
abc,2033
thousands,2024
measures,2022
normal,2014
canada,2013
horas,2013
nfl,2008
puede,1997
blood,1992
16,1985
ask,1982
used,1981
ne,1979
understand,1977
war,1975
related,1971
pay,1968
jul,1959
russia,1955
party,1954
claims,1945
fucking,1945
become,1943
large,1941
food,1940
you,1936
makes,1935
chinese,1934
sundayvibes,1930
for,1929
bbc,1926
fuck,1925
vía,1924
share,1916
likely,1913
instead,1911
anti,1904
seen,1903
age,1894
black,1889
young,1888
cut,1887
80,1884
el,1881
among,1878
air,1877
called,1876
la,1870
past,1869
thought,1867
vacuna,1866
possible,1862
hoax,1858
sur,1858
found,1844
else,1841
according,1840
reason,1840
different,1838
je,1835
cada,1834
ini,1833
friends,1832
vida,1829
current,1828
wave,1823
qui,1823
healthcare,1818
remember,1813
reopen,1812
joebiden,1810
wo,1808
ai,1807
together,1802
experts,1794
emergency,1794
caso,1787
confirmados,1780
hace,1780
australia,1776
wearamask,1774
list,1773
self,1769
whole,1769
evidence,1769
small,1758
info,1755
yg,1753
ver,1753
africa,1752
seems,1752
despite,1748
fighting,1747
source,1745
ng,1742
killing,1739
failed,1738
facts,1735
trial,1734
early,1726
set,1719
older,1718
parents,1717
ago,1717
term,1715
fall,1713
cómo,1712
rates,1706
started,1704
looking,1704
future,1704
takes,1698
play,1697
behind,1695
der,1693
tweet,1690
california,1685
politics,1685
able,1684
gets,1680
team,1680
app,1676
action,1671
killed,1670
españa,1668
talk,1663
examsincovidasuicide,1662
shut,1661
level,1658
group,1658
narendramodi,1657
businesses,1655
en,1655
hacer,1654
protests,1653
on,1653
eventually,1653
three,1652
transmission,1651
cuba,1648
jobs,1647
26,1647
half,1646
nearly,1643
coronaviruspandemic,1640
role,1639
casi,1639
campaign,1638
ny,1637
arrest,1633
citizens,1632
wait,1629
matter,1627
foxnews,1625
result,1624
twitter,1611
ang,1608
leader,1608
personal,1606
últimas,1604
sense,1603
das,1600
23,1598
office,1595
cure,1594
hands,1594
players,1593
semana,1593
नह,1590
21,1590
zero,1590
listen,1590
all,1589
restrictions,1588
ce,1588
learn,1588
trumpthreatensamerica,1588
try,1584
concerns,1583
mr,1574
disappear,1565
wallace,1554
rising,1553
38,1551
closed,1550
sars,1545
low,1544
tax,1543
und,1539
reopening,1537
thread,1536
masque,1535
cas,1532
four,1530
lie,1527
higher,1527
deal,1526
johnson,1524
tem,1521
uma,1520
mandatory,1519
based,1517
dies,1517
means,1515
vez,1514
april,1514
45,1513
san,1513
act,1513
trust,1507
prevent,1505
available,1503
blame,1500
coronavírus,1496
question,1495
education,1491
democrats,1487
course,1485
seriously,1484
washington,1484
aquí,1482
che,1476
contagio,1474
worldwide,1473
serious,1470
that,1469
idea,1465
families,1462
registra,1459
par,1458
biggest,1456
issues,1456
bit,1456
infants,1453
ok,1452
power,1449
scientists,1448
issue,1447
they,1447
mortality,1447
focus,1445
given,1445
negative,1442
pra,1442
mascarilla,1442
rest,1439
hai,1434
bannon,1433
millions,1431
europe,1430
gracias,1430
yesterday,1426
happen,1426
hear,1425
final,1422
needed,1421
victoria,1420
60,1419
años,1418
wow,1418
season,1417
general,1417
hey,1416
dangerous,1415
teachers,1410
especially,1409
clear,1408
00,1406
prueba,1402
pondetuparte,1402
run,1400
sad,1397
attention,1397
records,1395
probably,1394
responsible,1391
middle,1391
running,1389
interesting,1389
briefings,1389
pass,1388
gone,1387
22,1386
send,1384
meses,1383
het,1382
datos,1379
lack,1379
return,1377
red,1376
cold,1376
history,1375
pmoindia,1374
took,1372
patient,1372
vs,1370
count,1368
living,1368
foreign,1366
law,1365
guess,1362
mal,1361
tras,1359
staysafe,1357
500,1357
maga,1357
though,1355
major,1354
argentina,1354
funds,1353
nigeria,1353
women,1353
pruebas,1350
talking,1349
millones,1348
calls,1348
colombia,1347
mortes,1345
responsibility,1345
hi,1345
2019,1342
ppl,1341
caused,1340
70,1340
affected,1339
went,1338
sorry,1338
policy,1337
boris,1336
