gram,counts
covid 19,27111
19 vaccine,1737
19 pandemic,1148
fort detrick,903
hari lebaran,878
19 cases,828
covid19 covid,805
covid omicron,688
19 vaccines,688
latest covid,671
2022 04,631
19 covid,628
data covid19,628
covid19 publichealth,620
datavisualization datascience,616
datascience analytics,616
analytics healthtech,616
healthtech data,616
publichealth covid,616
covid globalhealth,616
team using,615
covid insights,614
analytics team,614
using usafacts,614
usafacts datavisualization,614
04 28,613
28 latest,607
vaksin covid,605
insights analytics,603
christian bernard,601
bernard magnongui,601
new covid,502
covid19 omicron,475
new cases,474
partners amp,461
19 vaccination,460
therapeutics amp,459
july 2020,458
bio covid,458
vaccine business,458
amp company,458
amp sold,458
chili protein,457
protein bio,457
business deal,457
deal declassified,457
declassified july,457
2020 telephone,457
telephone call,457
call ceo,457
ceo darnisha,457
darnisha harisson,457
harisson ennaid,457
ennaid therapeutics,457
company partners,457
amp christian,457
magnongui the,457
the 100,457
100 vaccine,457
vaccine patented,457
patented amp,457
sold dod,457
dod trump,457
casos covid,451
prokes hari,427
bill gates,401
covid19 coronavirus,378
nuevos casos,378
may 2022,342
covid covid19,338
covid cases,327
coronavirus covid19,318
positive covid,317
confirmed covid,313
sars cov,309
100 000,306
covid19 pandemic,300
us covid,294
per 1k,287
covid deaths,286
1k population,273
vacunación covid,266
due covid,264
population county,260
03 05,259
two years,253
coronavirus pandemic,249
24 hours,231
pandemia covid,231
birthplace covid,230
vacuna covid,230
cases per,224
active cases,218
05 2022,217
cases county,210
new york,209
day us,209
mental health,209
immune system,207
day covid,207
pandemi covid,205
public health,201
covid19 cases,195
covid19 vaccine,195
vaksinasi covid,192
19 aman,191
vacunas covid,190
20 years,189
25 years,188
covid covid,187
new coronavirus,187
coronavirus covid,186
19 di,185
casos coronavirus,185
anti covid,185
000 25,185
get well,179
severe covid,178
united states,177
confirmed cases,175
pandemia covid19,174
2022 05,173
03 2022,172
get vaccinated,170
12 14,170
19 fort,168
well soon,165
bpom jamin,163
jamin semua,163
semua vaksin,163
aman berkhasiat,163
berkhasiat dan,163
virus covid,162
body choice,160
mayo 2022,160
taking vaccine,160
19 deaths,159
contagios covid,159
without taking,159
experimental covid,157
tests positive,157
19 infection,154
25 mortgage,153
gun ownership,153
pueblovalienteyleal pueblovencedor,153
pueblovencedor fanb,153
19 restrictions,152
last 24,152
get covid,152
19 come,152
19 anak,151
19 test,151
around world,149
tested positive,149
deaths per,148
14 años,148
federal state,148
property taxes,148
come fort,147
19 dengan,147
mandatory gun,147
holding covid,147
19 response,146
vote tom,146
tom illinois,146
ownership cut,146
cut federal,146
state property,146
taxes holding,146
19 conspirators,146
conspirators genociders,146
genociders accountable,146
secretary defense,146
covid19 covid_19,145
coronavirus cases,145
supreme court,145
illinois governor,145
governor if,145
if mandatory,145
received experimental,145
05 03,144
magnongui letter,144
letter secretary,144
defense lloyd,144
lloyd austin,144
austin iii,144
iii march,144
march 03,144
2022 vaccine,144
vaccine restore,144
restore function,144
function immune,144
system us,144
us dod,144
dod personal,144
citizen received,144
vaccines set,144
set destroy,144
19 outbreak,143
long covid,143
equivalent 20,143
detrick place,142
fake news,141
abc news,138
may 03,137
19 infections,137
human rights,137
positivity rate,136
24 horas,136
origin covid,135
omicron covid19,135
nuevos contagios,135
mai 2022,134
covid19 vaccines,132
varian covid,131
personal amp,131
casos positivos,130
amp citizen,130
destroy army,130
need know,129
hong kong,128
