tweet_id	date	time	lang	country_code
1568812167490666496	2022-09-11	04:02:22	en	NULL
1568812169315090432	2022-09-11	04:02:22	en	NULL
1568812173731807236	2022-09-11	04:02:23	en	NULL
1568812213376524288	2022-09-11	04:02:33	in	NULL
1568812214265544704	2022-09-11	04:02:33	in	NULL
1568812217193369600	2022-09-11	04:02:34	qme	NULL
1568812233106366474	2022-09-11	04:02:38	fr	NULL
1568812275770736641	2022-09-11	04:02:48	en	NULL
1568812293009412097	2022-09-11	04:02:52	en	NULL
1568812303092416512	2022-09-11	04:02:54	en	NULL
1568812306083057664	2022-09-11	04:02:55	en	NULL
1568812317114077185	2022-09-11	04:02:58	en	NULL
1568812349217456134	2022-09-11	04:03:05	en	NULL
1568812354598764546	2022-09-11	04:03:07	en	NULL
1568812389071462402	2022-09-11	04:03:15	en	NULL
1568812414509924352	2022-09-11	04:03:21	en	NULL
1568812437788295168	2022-09-11	04:03:26	es	NULL
1568812440724316160	2022-09-11	04:03:27	fr	NULL
1568812451218718720	2022-09-11	04:03:30	en	NULL
1568812452963569666	2022-09-11	04:03:30	en	NULL
1568812467270156290	2022-09-11	04:03:33	en	NULL
1568812493933522944	2022-09-11	04:03:40	en	NULL
1568812553790185472	2022-09-11	04:03:54	pt	NULL
1568812567220604929	2022-09-11	04:03:57	fr	NULL
1568812572433911809	2022-09-11	04:03:59	en	NULL
1568812585566314497	2022-09-11	04:04:02	en	NULL
1568812624175067136	2022-09-11	04:04:11	es	NULL
1568812639316238336	2022-09-11	04:04:14	en	NULL
1568812658576465921	2022-09-11	04:04:19	es	NULL
1568812682282962947	2022-09-11	04:04:25	ja	NULL
1568812691396886529	2022-09-11	04:04:27	tr	NULL
1568812692462538752	2022-09-11	04:04:27	en	NULL
1568812749299367938	2022-09-11	04:04:41	hi	NULL
1568812759390863361	2022-09-11	04:04:43	tr	NULL
1568812813526646784	2022-09-11	04:04:56	en	NULL
1568812829163114497	2022-09-11	04:05:00	es	NULL
1568812836020981760	2022-09-11	04:05:01	ja	NULL
1568812844757536768	2022-09-11	04:05:03	es	NULL
1568812851292413952	2022-09-11	04:05:05	en	NULL
1568812869688463362	2022-09-11	04:05:09	en	NULL
1568812904660467712	2022-09-11	04:05:18	de	NULL
1568812936600162304	2022-09-11	04:05:25	fr	NULL
1568812940194627584	2022-09-11	04:05:26	en	NULL
1568812940266012672	2022-09-11	04:05:26	en	NULL
1568812964790108160	2022-09-11	04:05:32	en	NULL
1568812971622801408	2022-09-11	04:05:34	en	NULL
1568812979847856128	2022-09-11	04:05:36	en	NULL
1568813026052284422	2022-09-11	04:05:47	en	US
1568813030577946625	2022-09-11	04:05:48	en	NULL
1568813047405215744	2022-09-11	04:05:52	art	NULL
1568813049644998658	2022-09-11	04:05:52	en	NULL
1568813050807058434	2022-09-11	04:05:53	zxx	NULL
1568813081924407298	2022-09-11	04:06:00	en	NULL
1568813102430568451	2022-09-11	04:06:05	in	NULL
1568813114061369345	2022-09-11	04:06:08	en	NULL
1568813139809943553	2022-09-11	04:06:14	en	NULL
1568813149155127296	2022-09-11	04:06:16	bn	NULL
1568813169577017344	2022-09-11	04:06:21	es	NULL
1568813245473107969	2022-09-11	04:06:39	fr	NULL
1568813264276168711	2022-09-11	04:06:44	en	NULL
1568813291509809154	2022-09-11	04:06:50	en	NULL
1568813291925024768	2022-09-11	04:06:50	en	NULL
1568813317011177473	2022-09-11	04:06:56	qme	NULL
1568813342852259840	2022-09-11	04:07:02	sv	NULL
