tweet_id	date	time	lang	country_code
1541994955530555395	2022-06-29	04:00:20	en	NULL
1541994959875751937	2022-06-29	04:00:21	en	NULL
1541994971695390720	2022-06-29	04:00:24	es	NULL
1541994972466950144	2022-06-29	04:00:24	en	NULL
1541994976552394752	2022-06-29	04:00:25	de	NULL
1541994982261014533	2022-06-29	04:00:27	in	NULL
1541994993954557955	2022-06-29	04:00:30	en	NULL
1541994995166486529	2022-06-29	04:00:30	en	NULL
1541994998106714112	2022-06-29	04:00:31	es	NULL
1541995016305774592	2022-06-29	04:00:35	qme	NULL
1541995016977014784	2022-06-29	04:00:35	es	NULL
1541995020466946050	2022-06-29	04:00:36	in	NULL
1541995021024493571	2022-06-29	04:00:36	en	NULL
1541995023478460416	2022-06-29	04:00:37	en	NULL
1541995057841967104	2022-06-29	04:00:45	und	NULL
1541995059645558784	2022-06-29	04:00:45	hi	NULL
1541995059658235904	2022-06-29	04:00:45	es	NULL
1541995061449310208	2022-06-29	04:00:46	es	NULL
1541995062799761408	2022-06-29	04:00:46	en	NULL
1541995063034556417	2022-06-29	04:00:46	en	NULL
1541995065320554496	2022-06-29	04:00:47	en	NULL
1541995066713116672	2022-06-29	04:00:47	zxx	NULL
1541995068650815488	2022-06-29	04:00:47	qme	NULL
1541995072098811905	2022-06-29	04:00:48	in	NULL
1541995079283355648	2022-06-29	04:00:50	en	NULL
1541995086673747968	2022-06-29	04:00:52	es	NULL
1541995098807963649	2022-06-29	04:00:55	en	NULL
1541995115782098945	2022-06-29	04:00:59	en	NULL
1541995121704669186	2022-06-29	04:01:00	fr	NULL
1541995123784814599	2022-06-29	04:01:01	hi	NULL
1541995129006850048	2022-06-29	04:01:02	en	NULL
1541995136900530177	2022-06-29	04:01:04	en	NULL
1541995141288054784	2022-06-29	04:01:05	en	NULL
1541995149193924608	2022-06-29	04:01:07	en	NULL
1541995151094153218	2022-06-29	04:01:07	es	NULL
1541995168072695809	2022-06-29	04:01:11	fr	NULL
1541995168408166401	2022-06-29	04:01:11	pt	NULL
1541995181565698049	2022-06-29	04:01:14	fr	NULL
1541995185059647488	2022-06-29	04:01:15	en	NULL
1541995192927940609	2022-06-29	04:01:17	th	NULL
1541995194543120384	2022-06-29	04:01:17	hi	NULL
1541995198930210823	2022-06-29	04:01:18	de	NULL
1541995199206871040	2022-06-29	04:01:19	th	NULL
