gram,counts
covid 19 vaccine,6134
covid 19 vaccination,3563
covid 19 pandemic,3150
covid 19 di,2792
236 000 people,2463
covid 19 cases,2360
disiplinprokesppkmvaksinasi cegah pandemi,2271
covid 19 vaccines,2213
covid 19 military,1888
urgent assistance amid,1861
assistance amid upheaval,1861
need urgent assistance,1860
amid upheaval covid,1860
upheaval covid 19,1860
000 people need,1859
people need urgent,1859
19 military coup,1859
says 236 000,1858
organisation says 236,1857
aid organisation says,1856
military coup myanmar,1855
coup myanmar jazeera,1852
myanmar jazeera whatshappeninginmyanmar,1850
appointments available cvs,1566
19 vaccination appointments,1562
vaccination appointments available,1551
available cvs near,1502
sign 2021 06,1502
2021 06 08,1441
new covid 19,1258
19 di kudus,1245
kasus covid 19,1188
casos covid 19,1136
penanganan covid 19,1111
08 06 2021,1076
penyebaran covid 19,1054
pa sign 2021,992
due covid 19,981
vacunación covid 19,960
da covid 19,866
amid covid 19,844
di kudus kapolri,758
made nft potential,735
nft potential save,735
potential save tens,735
save tens lives,735
tens lives people,735
lives people fighting,735
people fighting covid,735
fighting covid surge,735
covid surge all,735
surge all ask,735
all ask small,735
ask small rt,735
small rt spread,735
rt spread awareness,735
últimas 24 horas,720
penularan covid 19,713
vacunas covid 19,701
semua pihak harus,695
pihak harus bergerak,695
vacuna covid 19,665
kapolri semua pihak,650
kudus kapolri semua,639
harus bergerak bersama,621
lonjakan kasus covid,618
covid19 corona vaccine,617
get covid 19,617
impfung covid19 corona,616
21 hier buchen,615
hier buchen impfung,615
buchen impfung covid19,615
covid 19 em,614
000 people across,606
covid 19 restrictions,603
aid organisation part,602
organisation part international,602
part international federation,602
international federation red,602
federation red cross,602
red cross ifrc,602
cross ifrc estimates,602
ifrc estimates 236,602
estimates 236 000,602
people across myanmar,602
across myanmar facing,602
myanmar facing poverty,602
facing poverty urgent,602
poverty urgent need,602
urgent need food,602
need food cash,602
food cash assistance,602
cash assistance amid,602
assistance amid covid,602
covid 19 coup,602
19 coup whatshappeninginmyanmar,598
06 21 hier,567
covid 19 vaccinations,566
disiplinprokesppkm vaksinasi cegah,566
last 24 hours,552
covid 19 via,548
vaksinasi cegah pandemi,543
mortes covid 19,538
vaksinasi covid 19,537
covid 19 patients,519
bersama disiplinprokesppkmvaksinasi cegah,515
bergerak bersama disiplinprokesppkmvaksinasi,514
md sign 2021,510
covid 19 deaths,489
vacina covid 19,486
positive covid 19,472
vaksin covid 19,468
drlimengyan1 闫丽梦 郭文贵,455
positivo covid 19,450
snte nosvemosenlaescuela nota,443
spread covid 19,442
bannon drlimengyan1 闫丽梦,441
new covid19 cases,435
pandemia covid 19,430
cases covid 19,422
vacinação covid 19,419
19 vaccine doses,418
covid 19 virus,417
menekan penyebaran covid,412
vaccination covid 19,410
freier impftermin für,408
vaccinated covid 19,404
positif covid 19,402
leaked wuhan lab,384
covid 19 disiplinprokesppkmvaksinasi,384
19 disiplinprokesppkmvaksinasi cegah,384
covid 19 update,376
muertes covid 19,372
vaksinasi disiplinprokesppkmvaksinasi cegah,371
pandemi covid 19,369
tni polri tingkatkan,369
di kudus tni,366
kudus tni polri,366
virus covid 19,365
mit abstand zur,362
abstand zur impfung,362
zur impfung von,362
untuk divaksin sehingga,359
divaksin sehingga dapat,359
sehingga dapat menekan,359
dapat menekan penyebaran,359
covid 19 test,358
covid 19 testing,354
segera daftarkan dirimu,353
daftarkan dirimu untuk,353
dirimu untuk divaksin,353
covid 19 infections,348
40 49 años,345
coronavirus covid 19,345
dose covid 19,345
ikut vaksinasi covid,345
pueblolibertario gnbypuebloinvencible yosoyfanb,343
nuevos casos covid,342
imunitasdengan ikut vaksinasi,341
gnbypuebloinvencible yosoyfanb nicolasmaduro,340
yosoyfanb nicolasmaduro cmdtegralgnb,340
tingkatkan imunitasdengan ikut,339
berlin wählbare tage,337
no one help,335
one help india,335
help india stand,335
india stand indiasupport,335
stand indiasupport vaccines,335
indiasupport vaccines fo,335
vaccines fo all,335
fo all please,335
all please retweet,335
please retweet get,335
retweet get cz_binance,335
get cz_binance justinsuntron,335
cz_binance justinsuntron elonmusk,335
justinsuntron elonmusk vitalikbuterin,335
elonmusk vitalikbuterin nft,335
vitalikbuterin nft covid19,335
vaksinasi covid 19ayo,334
covid 19ayo segera,333
19ayo segera daftarkan,333
от covid 19,326
impact covid 19,326
2021 06 09,325
news covid 19,312
covid 19 may,308
covid 19 infection,306
covid 19 crisis,306
covid 19 segera,306
covid 19 variant,304
semoga covid 19,304
polri tingkatkan penanganan,302
