gram,counts
covid 19 vaccine,2992
covid 19 cases,2593
covid 19 pandemic,2492
get well soon,2158
covid19 covid 19,1817
covid 19 covid,1808
new covid 19,1482
19 covid omicron,1355
casos covid 19,1296
positive covid 19,1286
covid 19 vaccines,1193
covid 19 vaccination,1071
covid 19 tests,856
covid 19 testing,776
positivo covid 19,756
2022 01 21,735
covid 19 test,723
covid19 publichealth covid,709
usafacts datavisualization datascience,708
datavisualization datascience analytics,708
datascience analytics health,708
analytics health data,708
health data covid19,708
data covid19 publichealth,708
publichealth covid omicron,708
covid omicron globalhealth,708
01 21 covid,703
21 covid insights,702
covid insights analytics,696
insights analytics team,696
analytics team usafacts,696
team usafacts datavisualization,696
due covid 19,673
contagios covid 19,658
vaccinated covid 19,603
covid 19 restrictions,593
covid 19 deaths,587
pueblounidoyprotegido fanb gnb,583
vacunación covid 19,543
birthplace covid 19,539
covid 19 case,532
lacovidnoesjuego pueblounidoyprotegido fanb,522
pandemia covid 19,519
covid 19 di,518
últimas 24 horas,479
covid 19 update,465
da covid 19,465
24ene lacovidnoesjuego pueblounidoyprotegido,440
new york times,439
cases covid 19,438
vaksinasi covid 19,438
tests positive covid,437
vaksin covid 19,435
tested positive covid,424
died covid 19,405
vacuna covid 19,405
covid 19 come,403
get covid 19,398
covid 19 via,381
covid 19 exposure,381
seguir medidas prevención,374
covid 19 patients,371
invitamos seguir medidas,369
medidas prevención protegerte,369
prevención protegerte covid19,369
propongo pancarta próximo,368
pancarta próximo 8m,368
próximo 8m celebre,368
8m celebre españa,368
celebre españa intención,368
españa intención enmendar,368
intención enmendar error,368
enmendar error costado,368
error costado miles,368
costado miles vidas,368
miles vidas país,368
vidas país coronavirus,368
país coronavirus mata,368
coronavirus mata machismo,368
covid 19 em,360
well soon yoshi,357
covid 19 omicron,355
19 fort detrick,355
covid 19 fort,354
spread covid 19,354
free covid 19,352
covid 19 infection,352
spinoffs help fight,350
help fight coronavirus,350
fight coronavirus clean,350
coronavirus clean pollution,350
clean pollution grow,350
pollution grow food,350
home covid 19,349
19 exposure report,348
covid19bc bced exposurebot,348
nasa spinoffs help,347
last 24 hours,342
20 000 plaintes,339
gnbcapital invitamos seguir,326
at home covid,319
covid 19 booster,316
près 20 000,306
24 01 2022,305
come fort detrick,300
19 come fort,298
covid 19 infections,297
covid 19 outbreak,297
per 1k population,294
grow food via,292
1k population county,290
fort detrick place,289
confirmed covid cases,285
cour justice république,284
kasus covid 19,279
january 24 2022,276
positivos covid 19,275
000 plaintes contre,274
vacinação covid 19,273
eric clapton claims,271
food via nasa,269
lávate manos frecuentemente,264
clapton claims people,264
mascarilla lávate manos,261
sans suite près,261
covid 19 virus,260
usa mascarilla lávate,260
covid19 usa mascarilla,259
manos frecuentemente agua,259
frecuentemente agua jabón,259
agua jabón usa,259
protegerte covid19 usa,258
jabón usa gel,258
usa gel alcoholado,258
gel alcoholado mantén,258
alcoholado mantén distanciamiento,258
mantén distanciamiento físico,258
distanciamiento físico lacovidnoesjuego,258
classe sans suite,258
suite près 20,258
nuevos casos covid,255
confirmed covid 19,247
strong evidence rebuttal,246
positif covid 19,245
contre jean castex,240
république classe sans,239
muertes covid 19,237
físico lacovidnoesjuego fanb,236
palin tests positive,234
justice république classe,234
vacunas covid 19,230
coronavirus covid 19,230
dogecoin breakingnews covid19,228
breakingnews covid19 clearthelist,228
covid19 clearthelist deals,228
plaintes contre jean,225
lacovidnoesjuego fanb 24ene,224
covid 19 finally,219
jean castex et,218
covid 19 positive,217
19 cour justice,216
covid 19 response,215
hospitalization death rates,214
covid 19 death,214
inzidenz liegt bei,212
ve trying cover,212
trying cover truth,212
die inzidenz liegt,211
fort detrick ve,211
detrick ve trying,211
covid 19 cour,211
lower covid 19,210
gemeldet die inzidenz,209
cover truth terrible,209
health data scotland,208
19 case hospitalization,208
new covid19 cases,208
latest health data,207
unvaccinated lower covid,207
case hospitalization death,207
detrick authoritatively recognized,207
authoritatively recognized birthplace,207
finally institution come,207
institution come forward,207
come forward tell,207
forward tell truth,207
tell truth convinced,207
truth convinced problem,207
com covid 19,207
от covid 19,206
data scotland mirrors,206
death rates fully,206
rates fully vaxxed,206
anything embarrassing lie,206
embarrassing lie exposed,206
19 finally institution,206
birthday party first,206
scotland mirrors uk,205
recognized birthplace covid,205
fanb gnb libertad003,205
gnb libertad003 gnbgarantedepaz,205
mirrors uk unvaccinated,204
uk unvaccinated lower,204
lie exposed birthplace,204
fort detrick banned,203
detrick banned people,203
24 enero 2022,203
exposed birthplace covid,202
banned people talking,202
castex et plusieurs,202
et plusieurs ministres,202
pandemi covid 19,201
us covid deaths,201
impact covid 19,200
people vaccinated covid,200
apart latest health,199
evidence rebuttal covid19,198
covid 19 measures,198
origin covid 19,198
falling apart latest,198
cases per 1k,198
free at home,197
covid cases per,197
sarah palin tests,197
covid 19 niños,196
day us covid,196
casos positivos covid,195
covid 19 variant,194
lunes 24 enero,194
januar 2022 wurden,192
au covid 19,190
covid 19 variants,190
coronavirus rules birthday,190
covid covid covid,190
covid 19 originated,189
rules birthday party,189
party first national,189
first national lockdown,189
broke coronavirus rules,188
covid 19 vaccinations,187
covid 19 hospitalizations,187
latest covid 19,186
pm broke coronavirus,186
neuinfektionen und todesfälle,185
covid deaths county,185
du covid 19,184
us covid 19,184
dose covid 19,184
report covid 19,183
daily covid 19,181
johnson pm broke,181
covid 19 transmission,179
fully vaccinated travellers,179
vacina covid 19,178
getting covid 19,177
omicron covid 19,175
covid 19 surge,175
covid 19 came,175
lockdown report claims,175
contre covid 19,174
19 vaccine mandate,174
national lockdown report,174
24 januar 2022,171
trial new york,171
covid 19 new,170
sarah palin positive,170
palin positive covid,170
covid 19 varian,166
test positive covid,165
receive covid 19,165
covid19 24ene lacovidnoesjuego,165
aumento casos covid,163
claims people vaccinated,163
covid 19 hypnosis,162
000 americans died,161
kevin mccarthy lawsuit,161
lawsuit nancy pelosi,160
covid 19 covid19,159
nancy pelosi covid,159
pelosi covid 19,159
slow news day,159
well soon eric,158
truth report lied,158
detrick fort detrick,158
mccarthy lawsuit nancy,158
covid 19 voting,158
milk tea alliance,157
covid 19 untuk,157
supreme court throws,157
throws kevin mccarthy,157
times defamation trial,157
called new coronavirus,157
covid 19 relief,156
palin tested positive,156
court throws kevin,156
newsliteracyweek 24 28,156
24 28 treat,156
poem called slow,156
called slow news,156
news day see,156
day see book,156
see book wrote,156
book wrote download,156
wrote download book,156
download book poem,156
book poem called,156
poem called new,156
new coronavirus blues,156
19 voting rules,155
